idEstablecimiento|nombre_esta|direccion|refen_direccion|telefono_principal|telefono_secun|email|paginaWeb|estimacion|horarios|id
22240|GRAN MOLINA|AV SUCRE S-N LOS INCAS|ESQUINA|72255049|992747116|tanifer12@hotmail.com|www.hotelmolinagualaceo.com|180|Lunes a domingo 24 horas|44449
22241|CALAMAR|GARCIA MORENO 6-50 Y GONZALES SUAREZ||2860862||||147|Lunes a domingo 24 horas|44450
22242|MI CLASSIC DISCOTEC|CAÑARIS Y CLODOVEO CENTENO, ESQUINA||72257845||MERCEDESPB2016@HOTMAIL.COM||183|Lunes a viernes 06:00 a 20:00|44451
22243|AZUAY|EL RAMAL||||||241|Lunes a viernes 06:00 a 20:00|44452
22244|CASA GRANDE|TRATADO DE GIRON Y ESCUADRON CEDEÑO||||||187|Lunes a domingo 24 horas|44453
22245|TRUQUITO DEL SABOR EL|JUAN JARAMILLO 8-39 Y BENIGNO MALO||||||227|Lunes a Viernes 08h30 a 17h30|44454
22246|GOLOSINAS DE BETTY|CDLA. LA SAIBA MZ. Q VILLA 26||2444166||||172|Lunes a domingo 24 horas|44455
22247|FRESAW|Av. Alberto Zambrano s/d Calle F|Frente al Terminal Terrestre de Puyo|982655038|32883963|chiquita410@hotmail.com||115|Lunes a domingo 24 horas|44456
22248|CAFÉ PUMAPUNGO|CALLE LARGA 1-164 Y JESUS DE ARRIEGA||2850929||ROSARIOTOROMORENOTAPIA@YAHOO.COM||174|Lunes a domingo 24 horas|44457
22249|LUMINARIAS TURI|TURI S/N (SECTOR IGUESIA)||72883403||||103|Lunes a domingo 24 horas|44458
22250|ROSA VICTORIA|AV. CIRCUNVALACION SECTOR EL ESTADIO||72257141||guncayreinoiso@hotmail.com||183|Lunes a domingo 24 horas|44459
22251|HELADERIA LOS ALPES|AV. GENERAL RUMUÑAHUI 255 Y SEXTA Y SEPTIMA TRANSVERSAL||2862045||||124|Lunes a domingo 24 horas|44460
22252|ALPES LOS|AV. ILALO Y RIO PASTAZA||2862045||negrishf@hotmail.com||235|Lunes a Viernes 08h30 a 17h00|44461
22253|HELADERÍA LOS ALPES|RÍO Pastaza S/n y Av. IlalÓ||22862045|995689408|oficina@heladerialosalpes.com.ec||154|Lunes a Domingo 24 horas|44462
22254|HELADERÍA LOS ALPES|Av.12 de Octubre S/N y Mariscal Foch|DIAGONAL CENTRO COMERCIAL 12 DE OCTUBRE|22568121|995689408|oficina@heladerialosalpes.com.ec|www.heladerialosalpes.com.ec|184|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44463
22255|COMPLEJO TURISTICO EL REY DE AGUAS TERMALES|NARANJAL, RECINTO AGUAS CALIENTES S/N||4220654||ismael@troncal.net||157|Lunes a domingo 24 horas|44464
22256|PIEDRA DE AGUA|PASEO DE GUADALUPANA, SECTOR BAÑOS||2892496||||160|Lunes a sabado de 08:00 a22:00|44465
22257|HOSTAL CORONEL|Mariano Cueva 9-42 Bolivar|ingresar por la calle la La Mar|997254417|72838108|gerencia@hotelcoronel.ec|www.hotelcoronel.ec|114|Lunes a domingo 24 horas|44466
22258|HACIENDA SUIZA YOGURT Y PAN DE YUCA N 2|GONZALEZ SUAREZ S/N EMILIANO ZAPATA|CENTRO COMERCIAL MONAY SHOPPING||992950953|haciendasuiza@gmail.com||204|Lunes a Domingo 24 horas|44467
22259|HACIENDA SUIZA YOGURT Y PAN DE YUCA N 3|REMIGIO CRESPO S/N DE LA CRUZ|CENTRO COMERCIAL BATAN||992950953|haciendasuiza@gmail.com||191|Lunes a domingo 24 horas|44468
22260|BAMBU|AV. LOS FUNDADORES Y GARCIA MORENO||2899057||||128|Lunes a domingo 24 horas|44469
22261|SELENA ANGELINA|BARRIO SUCRE, PARROQUIA BUENAVISTA||2941122||||141|Lunes a Domingo 24 horas|44470
22262|JUGOS FIGUEROA HEREDIA|IMBABURA N1-22 Y ROCAFUERTE||2286669||||235|Lunes a domingo 24 horas|44471
22263|JUGUERÍA FIGUEROA HEREDIA|Imbabura N1-22 y Rocafuerte|A UNA CUADRA DEL PATRONATO SAN JOSE|992764349|969073818|jugueriafigueroa@hotmail.com||189|Lunes a domingo 24 horas|44472
22264|LA CASA DE LA GOLOSINA|LAS HERRERIAS 2-10 AV 12 DE ABRIL|SECTROR LAS HERRERIAS|988199316|988199316|amma.sol-52@hotmail.com||110|Lunes a sabado de 06:00 a22:00|44473
22265|RINCON DEL RIO|JUAN VINTIMILLA S/N SIN NOMBRE|DETRAS DEL MERCADO MUNICIPAL|72276593|980427661|icaluvac@gmail.com||221|Lunes a domingo 24 horas|44474
22266|MORZUA|AMAZONAS SN 29 DE MAYO|ESQUINA, RINCÓN DEL VAGO|72702275|999661025|omoralescalle.ec@hotmail.com||228|Lunes a sabado de 08:00 a22:00|44475
22267|INES MARIA|GRAN COLOMBIA 12-64 JUAN MONTALVO|'|72848380|991764737|hostalinesmaria@gmail.com|www.hostalinesmaria.com|239|Lunes a viernes 06:00 a 20:00|44476
22268|SNOBIZ NO 2|MALL DEL RIO SHOPPIN CENTER||||||232|Lunes a viernes 06:00 a 20:00|44477
22269|PARADERO D TILAPIA|VIA MACAS - PUYO, KM 21||3049199||ayliscuri@hotmail.com||163|Lunes a Domingo 24 horas|44478
22270|PLAZA CENTRAL|Primero de Mayo s/n Av. Hualtaco|Frente al Mercado Central.|991550735|72995467|gerencia@hotelplazacentral.com||230|Lunes a Domingo 24 horas|44479
22271|HOTEL EL CONQUISTADOR|AUTOPISTA YAHUARCOCHA KM 9 CALLE PIÑAN|Junto al Muelle Bar Yahuacocha,&nbsp|997341799|62580285|conquistadorlago@hotmail.com||183|Lunes a viernes 06:00 a 20:00|44480
22272|CUADRA DE ROSITA LA|CRISTOBAL COLON Y AV. 12 DE OCTUBRE||72816048||||121|Lunes a viernes a partir de las 08h00 hasta 17h00|44481
22273|MOLINO HOSTEL|EL MOLINO 2-04 LOS BALCONES|A UNA CUADRA DE EDIFICIO MONTEVELLO|72842281|984975944|molinohostel@gmail.com|www.elmolinohostel.com|188|Lunes a domingo 24 horas|44482
22274|SOLANO|CAMILO DESTUGE 1215 Y GUARANDA||2346011||||171|Lunes a domingo 24 horas|44483
22275|AGUA Y BAMBOO|TRONCAL AMAZÓNICA S/N S/N|A 3 MINUTOS DEL PARQUE CENTRAL|72751003|981963460|hosteria_aguaybamboo@hotmail.com||232|Lunes a sabado de 08:00 a22:00|44484
22276|LA COLMENA Y QUE||PARQUE CENTRAL|961902797|961902797|lacolmena@hotmail.com||216|Lunes a viernes 06:00 a 20:00|44485
22277|PACHACAMAC|VIA PRINCIPAL S/N S/N|A QUINIENTOS METROS DE LA GASOLINERA|72171620|998653032|milperez74@hotmail.com||141|Lunes a sabado de 08:00 a22:00|44486
22278|COMPLEJO TURISTICO EL PEÑON DE CUSAY|VIA A CUENCA S/N S/N|A DOSCIENTOS METROS DE LA GASOLINERA|72171515|998653032|milperez74@hotmail.com||150|Lunes a domingo 24 horas|44487
22279|SERES|PRESIDENTE CORDOVA N°7-23 Y BORRERO||2838508||||100|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44488
22280|LA POSADA DEL QUIJOTE|MIGUEL DE CERVANTES S/N VIA A PICHANILLAS|EL PORTON SECTOR LENTAG, A SETESIENTOS METROS DEL PARQUE EXTREMO|72801606|993224698|enrique_jerves@hotmail.com||127|Lunes a sabado de 08:00 a22:00|44489
22281|JR. CAMARÓN|Av. 6 de Diciembre N21-19 y Jorge Washington|A MEDIA CUADRA DEL BANCO DEL PICHINCHA|22563978|939630036|fabilau87@yahoo.es||234|Lunes a viernes 06:00 a 20:00|44490
22282|BALCON QUITEÑO NO.1|SANGURIMA 6-49||2831928||||210|Lunes a sabado de 08:00 a22:00|44491
22283|HOSTERIA LUZCELINDA|VIA A CUENCA S/N S/N|A CIEN METROS DE LA COMPLEJO LA ANCONDA|72742118|990350547|edbeke@gmail.com|www.hosterialuzcelinda.com|163|Lunes a sabado de 08:00 a22:00|44492
22284|TOKIO|Julio SAenz S6-502 Calle F|(VIA ANTIGUA CONOCOTO)|987671630|22602592|alexandrag.maldonado@gmail.com||243|Lunes a viernes 06:00 a 20:00|44493
22285|TANQUEATE|PANAMERICANA SUR KM 8.5||72878222||||181|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44494
22286|PANTANAL EL|LAS AMERICAS KM 1 VIA SANTA MARTHA||||||148|Lunes a Viernes 08h30 a 17h30|44495
22287|CREMOLATO|AV DE LAS AMERICAS 6-178||||||139|Lunes a sabado de 08:00 a22:00|44496
22288|FONTANA HELADERIA No 6|C.C. SAN LUIS SHOPPING - SAN RAFAEL||2090441||||201|Lunes a sabado de 06:00 a22:00|44497
22289|FONTANA HELADERIA NO 2|AV. GENERAL ENRIQUEZ C.C.PLAZA DEL VALLE L.B-14||2869329||||135|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44498
22290|FONTANA HELADERIA (QUITUMBE)|AV. QUITUMBE ÑAN Y AV. MORAN VALVERDE||||||154|Lunes a sabado de 08:00 a22:00|44499
22291|FONTANA HELADERIA NO 5|C.C.EL RECREO LOCAL 16||2666225||||175|Lunes a sabado de 08:00 a22:00|44500
22292|Y RESTAURANTE ''MANABI''|13 DE JUNIO S/N JULIAN ALVARADO|FRENTE A LA IGLESIA EVANGELICA|62319325|623193250|hostal.manabi@hotmail.com||165|Lunes a Viernes 08h30 a 17h00|44501
22293|MOLINOS DEL BATAN LOS|AV.12 DE ABRIL Y EL BATAN||2811531||||184|Lunes a sabado de 08:00 a22:00|44502
22294|HOSTERIA ESTANCIA EL ANGEL|Recta Carmen de Bullcay S/N S/N||72171173|998057614|nancy2016hea@gmail.com|www.estanciaelangel.com|117|Lunes a sabado de 08:00 a22:00|44503
22295|RIONE|LUIS MORENO MORA ESQUINA EDUARDO MALO||74092085|992762294|info@rionehotel.com|www.rionehotel.com|248|Lunes a sabado de 08:00 a22:00|44504
22296|BRASA EL RINCON DEL BUEN SABOR LA|DAVILA CHICA Y VICENTE PEÑA||||||131|Lunes a sabado de 08:00 a22:00|44505
22297|RANCHO GRANDE|EL QUINCHE, RICAURTE JUNTO AL COLEGIO DE LAS CATALINAS||4075116||chmontero@hotmail.com|www.ranchogrande.com.ec|185|Lunes a sabado de 08:00 a22:00|44506
22298|QUINTA MERCEDES|AV. PUEBLO DE LOS QUITUS Y CALLE SIN NOMBRE, CHALLUABAMBA||2843197||info@hotelquijote.com||116|Lunes a sabado de 08:00 a22:00|44507
22299|ESTANCIO BLANCA|SANGURIMA Y MANUEL VEGA||72843740||||221|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44508
22300|LAS CABAÑAS|AV ORDOÑEZ LAZO KM 5 S/N S/N|SAYAUSI|4191304|999290515|rubengarcia@hotmail.com||232|Lunes a sabado de 08:00 a22:00|44509
22301|PACHAMAMA LODGE|CALLE LARGA 2-38 MANUEL VEGA|FRENTE A LAS RUINAS ARQUEOLOGICAS DE TODOS SANTOS|72829465|999760076|eduardobrito2007@hotmail.com||155|Lunes a viernes de 9:00 a 15:00, Lunes a viernes de 16:00 a 22:00|44510
22302|HOSTAL VILLA DEL ROSARIO|HONORATO VASQUEZ 5-25 MARIANO CUEVA|A CUADRA Y MEDIA DE LA IGLESIA DE LA MERCED, EN LA CALLE HONORATO VASQUEZ|992253778|72828585|dolorescelleri15@hotmail.com||154|Lunes a Viernes 08h30 a 17h30|44511
22303|DON GUEVARA|KM 21 VIA A MOLLETURO||4045243||guevara.12@hotmail.com||159|Lunes a sabado de 08:00 a22:00|44512
22304|CISNE EL|LEOPOLDO DAVILA Y AV. DE LAS AMERICAS||4093744||||181|Lunes a Viernes 08h30 a 17h00|44513
22305|RINCON CUENCANO EL|SOASTI ENTRE CUENCA Y 5 DE AGOSTO||2704087||guada.loja@hotmail.com||143|Lunes a Viernes 08h30 a 17h00|44514
22306|ASADERO RESTAURANT GALPON CRIOLLO|AV. La República S/N Guayas y 9 de de octubre|Frente a la cooperativa de taxis Turismo Sur.|72511714|992656463|crisjas@hotmail.com|www.galponcriollo.com|171|Lunes a sabado de 08:00 a22:00|44515
22307|PALMAS LAS|VIA A GUARUMALES MENDEZ||985801706||ESTERLLIGUISUPA.VERDUGO@OUTLOOK.ES||183|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44516
22308|CACTUS CAFÉ|GUAYANAY 1-26 PACHACAMAC|CIUDADELA ALVAREZ|74109058|980558329|bolivartmendoza@hotmail.com||224|Lunes a sabado de 08:00 a22:00|44517
22309|BUNGALOWS|SUCRE 16-62 Y MIGUEL VELEZ||2828-438||||190|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44518
22310|CHOZA LA|TERMINAL TERRESTRE EL CHORRO Y SEBASTIAN DE BENALCAZAR||72861364||||160|Lunes a sabado de 08:00 a22:00|44519
22311|RESTAURANTE MI ESCONDITE|JULIA BERNAL 3-18 JAIME ROLDOS|PARROQUIA RICAURTE SECTOR CUATRO ESQUINAS|72890228|969198094|miesconditericaurte@hotmail.com|www.restaurantesmiescondite.com|234|Lunes a sabado de 08:00 a22:00|44520
22312|NICE CREAM|TARQUI Y AMAZONAS||2704198||feijo.antonio.54@gmail.com||125|Lunes a sabado de 08:00 a22:00|44521
22313|MUU YOGURT N1|BENIGNO MALO Y JUAN JARAMILLO||845632||||138|Lunes a Viernes 08h30 a 17h30|44522
22314|PECAN BISTRO THE|CDLA. LA GARZOTA, MZ. 29, SL. 12||2647540||||120|Lunes a Viernes 08h30 a 17h30|44523
22315|LA ORQUIDEA LIMONENSE|AV. 12 DE DICIEMBRE S/N 5 DE JUNIO||72770301|994286983|miriamsalazar22@hotmail.com||183|Lunes a sabado de 08:00 a22:00|44524
22316|PAREDES|bartolome serrrano 1-17 simon bolivar||72835674|968221822|hostalparedes@hotmail.com|www.hostalparedes.com|221|Lunes a domingo 24 horas|44525
22317|HOSPEDAJE LOS CABALLEROS|SANTIAGO LAFEBRE 2264 FRANCISCO DE ORELLANA|A UNA CUADRA DEL PARQUE CENTRAL, VIA A MACAS|73911226|992274217|feralvarez1955.edgar@gmail.com||181|Lunes a domingo 24 horas|44526
22318|MAXIS YOGURT|COLON 712 Y LEONIDAS PLAZA||||||216|Lunes a sabado de 08:00 a22:00|44527
22319|Q' PAPA FRENCH FRIES|AV. 12 DE ABRIL Y AV. LOJA||72455666||JCAZORLA@VINDELPO.COM||168|Lunes a sabado de 08:00 a22:00|44528
22320|HOSTAL SAN DIEGO|AV. DE LAS AMERICAS 13-00 MARISCAL LAMAR|FRENTE AL SUPERMAXI|72837569|995512501|dugalde30@gmail.com||181|Lunes a sabado de 08:00 a22:00|44529
22321|MILETO|Eduardo Aspiazu (Avda 6ta) S/N Lupercio Bazan (Calle 23)||42771125|998552200|info@hotelmileto.com|www.hotelmileto.com|227|Lunes a Viernes 08h30 a 17h00|44530
22322|HOTEL LA CASONA VERGEL|MIGUEL CORDERO 2-124 ALFONSO CORDERO|Miguel Cordero 2-124 y Alfonso Cordero, esquina. Sector el estadio. A una cuadra del Supermaxi del Vergel|998831262|72888869|info@lacasonahotel.com.ec|www.lacasonahotel.com.ec|107|Lunes a Viernes 08h30 a 17h30|44531
22323|CASA DEL RIO|BAJA DEL PADRON 4-07 Y CALLE LARGA||2829659||||170|Lunes a viernes 06:00 a 20:00|44532
22324|SAGITARIO|AV. DE LAS AMERICAS Y 12 DE ABRIL||2880450||||106|Lunes a viernes de 08:00 a 18:00|44533
22325|DON RAUL|AV. DE LAS AMERICAS Y AV. DON BOSCO||74072946||MONYCEDILLO@HOTMAIL.COM||192|Lunes a sabado de 08:00 a22:00|44534
22326|HOSTAL PRIMAVERA|Av. Ricardo Durán S-N Alfonso Carrión|A media cuadra de la entrada a la Hostería Durán y a media cuadra del PAI de Baños.&nbsp|994977493|74047475|nicolesinchi1996@hotmail.com||130|Lunes a domingo 24 horas|44535
22327|HAMILTON|MIGUEL HEREDIA 3-07 VEGA MUÑOZ|A UNA CUADRA DEL PARQUE PLAZA DEL ARTE|593824243|987146349|hotelhamiltoncuenca@hotmail.com||197|Lunes a sabado de 08:00 a22:00|44536
22328|SHANTA'S RESTAURANT|AV. LOJA SN SN|JUNTO A&nbsp HACIENDA ALIVINATU&nbsp|959491012|985385710|shantasbar@hotmail.com||202|Lunes a Viernes 08h30 a 17h00|44537
22329|VILLA SAN MARCOS|VEGA MUÑOZ 7-45 LUIS CORDERO|A DOS CUADRAS DE LA IGLESIA DE MARIA AUXILIADORA|992969040|72843111|villa.sanmarcos.hotel@hotmail.com||224|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44538
22330|LAS VEGAS|MARISCAL FOCH E7-72 y DIEGO DE ALMAGRO|DIAGONAL AL CARAVANA|22553498|999238629|erikaperaltarobled@gmail.com||125|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44539
22331|EL MONASTERIO|PRESIDENTE CORDOVA 6-45 BORRERO|CENTRO|0|992346900|reino763@hotmail.com||149|Lunes a viernes de 08:00 a 18:00|44540
22332|EL FOGON DE GIRON|LUCIANO VALLEJO S/N GARCIA MORENO|CENTRO DE GIRON|72275677|959826556|orlandosigua78@gmail.com||158|Lunes a domingo 24 horas|44541
22333|ROYAL CLUB|AV. 10 DE AGOSTO Y A. CUEVA||72837297||||111|Lunes a domingo 24 horas|44542
22334|LA CASA DE MARIO|PASAJE SOJOS 1-17 FRANCISCA SOJOS|FRENTE AL PARQUE DE LA CIUDADELA|72815621|995910868|MGALVISF@HOTMAIL.COM||115|Lunes a sabado de 06:00 a22:00|44543
22335|INTERNACIONAL|calle cuenca SN Garcia moreno|FRENTE A CNT|22780637|999325250|hotelinternacional-rp@hotmail.com|www.hotelinternacionalgualaquiza.com|116|Lunes a viernes de 08:00 a 18:00|44544
22336|SOFIA PRINCIPAL|ESTEVEZ DE TORAL N.- 11-90 Y SANGURIMA||2841667||||155|Lunes a sabado de 08:00 a22:00|44545
22337|PALMEIRAS|AV. 29 Y CIRCUNVALACION Y AV. FLAVIO REYES||52627070||marienela.mero@hotmail.com||111|Lunes a sabado de 08:00 a22:00|44546
22338|RINCON DE ESPAÑA|AV. ESPAÑA 17-97||2806586||||128|Lunes a Viernes 08h30 a 17h00|44547
22339|HOSTAL LA PAZ|AV ESPANA 502 BARCELONA|AV ESPAÑA JUNTO AL BANCO DEL GUAYAQUIL, DIAGONAL AL TERMINAL TERRESTRE|999501126|72865156|agustin.salazarroldan@gmail.com||226|Lunes a Viernes 08h30 a 17h00|44548
22340|HOTEL COLONIAL|GRAN COLOMBIA 10-13 PADRE AGUIRRE|FRENTE A LA IGLESIA SANTO DOMINGO|72841644|984810685|hostalcolonialcuenca@gmail.com|www.hostalcolonial.com|149|Lunes a viernes de 08:00 a 18:00|44549
22341|HOSTAL CHONTA DORADA|PIO JARAMILLO ALVARADO S/N Y DIEGO DE VACA|EN EL CENTRO DE LA CIUDAD A UNA CUADRA DEL COLISEO DE DEPORTES|989124744|72606384|hotelchontadorada@hotmail.com||182|Lunes a domingo 24 horas|44550
22342|CASTILLO REAL EL|LAMAR 11-51||2818337||||118|Lunes a sabado de 08:00 a22:00|44551
22343|PRADERA LA|VIA AL CAJAS SECTOR DOS CHORRERAS||72370299||||214|Lunes a viernes 06:00 a 20:00|44552
22344|RESTAURANTE EL ALCATRAZ|RICAURTE SECTOR 4 ESQUINAS||72890427||||180|Lunes a sabado de 08:00 a22:00|44553
22345|TOMEBAMBA|SIMÓN BOLÍVAR 11-19 GENERAL TORRES|A MEDIA CUADRA DE LA DIRECCION DE EDUCACION|72823797|993545346|hoteltomebamba@hotmail.com|'|212|Lunes a sabado de 08:00 a22:00|44554
22346|GENESIS|LAMAR 10-26||||||233|Lunes a domingo 24 horas|44555
22347|GREEN SPOT|AV. ORDOÑEZ LASSO S/N JOSE RODRIGUEZ PARRA|SECTOR VIRGEN DEL MILAGRO, FRENTE A UNA LAVADORA DE AUTOS|74089394|990852827|greenspot.ecuador@gmail.com|www.greenspotecuador.com|182|Lunes a sabado de 08:00 a22:00|44556
22348|QUINTA CARMITA|SECTOR SAN MIGUEL SAYAUSI||4109415||silviamaricelar@yahoo.com||131|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44557
22349|CINEMA CAFE|LUIS CORDERO 7-42 PRESIDENTE CORDOVA|A UNA CUADRA DEL PARQUE CENTRAL|989476241|72842719|nachocinemacafe@hotmail.com||113|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44558
22350|MERCEDITAS|VIA A NULTI A 300M ESCUELA BALAREZO||||||243|Lunes a Domingo 24 horas|44559
22351|DOÑA CHARITO|REMIGIO CRESPO 7-79||2884026||||248|Lunes a Domingo 24 horas|44560
22352|CENTRO SAMAI|PRINCIPAL S/N SUBIENDO AL CERRO|FRENTE A LA COMUNIDAD DE SAN JOSE|72814832|994621416|samaispa@yahoo.com||179|Lunes a Domingo 24 horas|44561
22353|HOSTAL PELEUSI|SERRANO 3-22 MATOVELLE|DIAGONAL A LA IGLESIA LA CATEDRAL AZOGUES &nbsp|983741298|72245445|hostalpeleusi@gmail.com||182|Lunes a Viernes 08h30 a 17h30|44562
