id|cantón
37669|PUERTO LÓPEZ
37670|PORTOVIEJO
37671|GUAYAQUIL
37672|SANTA ELENA
37673|MACHALA
37674|PORTOVIEJO
37675|GUAYAQUIL
37676|PORTOVIEJO
37677|GUAYAQUIL
37678|MANTA
37679|MACHALA
37680|CHONE
37681|PUERTO LÓPEZ
37682|GUAYAQUIL
37683|GUAYAQUIL
37684|SALINAS
37685|SALINAS
37686|GUAYAQUIL
37687|GUAYAQUIL
37688|GUAYAQUIL
37689|GUAYAQUIL
37690|GUAYAQUIL
37691|GUAYAQUIL
37692|GUAYAQUIL
37693|MANTA
37694|GUAYAQUIL
37695|SAMBORONDÓN
37696|GUAYAQUIL
37697|DAULE
37698|GUAYAQUIL
37699|SAMBORONDÓN
37700|GUAYAQUIL
37701|GUAYAQUIL
37702|GUAYAQUIL
37703|GUAYAQUIL
37704|GUAYAQUIL
37705|MANTA
37706|MACHALA
37707|MACHALA
37708|GUAYAQUIL
37709|GUAYAQUIL
37710|MANTA
37711|SALINAS
37712|PORTOVIEJO
37713|PORTOVIEJO
37714|GUAYAQUIL
37715|GUAYAQUIL
37716|GUAYAQUIL
37717|SANTA ELENA
37718|MANTA
37719|GUAYAQUIL
37720|SANTA ELENA
37721|GUAYAQUIL
37722|SAMBORONDÓN
37723|GUAYAQUIL
37724|GUAYAQUIL
37725|GUAYAQUIL
37726|GUAYAQUIL
37727|GUAYAQUIL
37728|GUAYAQUIL
37729|MANTA
37730|SANTA ELENA
37731|MANTA
37732|GUAYAQUIL
37733|PASAJE
37734|MILAGRO
37735|SALINAS
37736|PORTOVIEJO
37737|GUAYAQUIL
37738|GUAYAQUIL
37739|MACHALA
37740|MANTA
37741|GUAYAQUIL
37742|SALINAS
37743|GUAYAQUIL
37744|SALINAS
37745|QUEVEDO
37746|MANTA
37747|MANTA
37748|MANTA
37749|MANTA
37750|SAMBORONDÓN
37751|PORTOVIEJO
37752|MONTECRISTI
37753|MANTA
37754|GUAYAQUIL
37755|LA LIBERTAD
37756|PASAJE
37757|MANTA
37758|GUAYAQUIL
37759|GUAYAQUIL
37760|MANTA
37761|GUAYAQUIL
37762|GUAYAQUIL
37763|GUAYAQUIL
37764|GUAYAQUIL
37765|GUAYAQUIL
37766|LA LIBERTAD
37767|GUAYAQUIL
37768|BABAHOYO
37769|GUAYAQUIL
37770|SALINAS
37771|GUAYAQUIL
37772|GUAYAQUIL
37773|SALINAS
37774|SALINAS
37775|GUAYAQUIL
37776|SUCRE
37777|ARENILLAS
37778|GUAYAQUIL
37779|MANTA
37780|GUAYAQUIL
37781|SANTA ROSA
37782|MANTA
37783|MACHALA
37784|SANTA ELENA
37785|QUEVEDO
37786|QUEVEDO
37787|GUAYAQUIL
37788|GUAYAQUIL
37789|PUERTO LÓPEZ
37790|SANTA ELENA
37791|MANTA
37792|GUAYAQUIL
37793|MANTA
37794|HUAQUILLAS
37795|SALINAS
37796|GUAYAQUIL
37797|GUAYAQUIL
37798|QUEVEDO
37799|GUAYAQUIL
37800|GUAYAQUIL
37801|DURÁN
37802|GUAYAQUIL
37803|GUAYAQUIL
37804|PORTOVIEJO
37805|GUAYAQUIL
37806|QUEVEDO
37807|SANTA ROSA
37808|GUAYAQUIL
37809|PIÑAS
37810|GUAYAQUIL
37811|EL GUABO
37812|GUAYAQUIL
37813|GUAYAQUIL
37814|GUAYAQUIL
37815|GUAYAQUIL
37816|GUAYAQUIL
37817|GUAYAQUIL
37818|GUAYAQUIL
37819|GUAYAQUIL
37820|DURÁN
37821|GUAYAQUIL
37822|GUAYAQUIL
37823|GUAYAQUIL
37824|GUAYAQUIL
37825|GUAYAQUIL
37826|DAULE
37827|QUEVEDO
37828|GUAYAQUIL
37829|PIÑAS
37830|GUAYAQUIL
37831|GUAYAQUIL
37832|GUAYAQUIL
37833|GUAYAQUIL
37834|GUAYAQUIL
37835|GUAYAQUIL
37836|GUAYAQUIL
37837|JIPIJAPA
37838|SANTA ROSA
37839|GUAYAQUIL
37840|DURÁN
37841|GUAYAQUIL
37842|GUAYAQUIL
37843|GUAYAQUIL
37844|LA LIBERTAD
37845|PEDERNALES
37846|GUAYAQUIL
37847|GUAYAQUIL
37848|SANTA ELENA
37849|GUAYAQUIL
37850|GUAYAQUIL
37851|GUAYAQUIL
37852|GUAYAQUIL
37853|EL TRIUNFO
37854|GUAYAQUIL
37855|HUAQUILLAS
37856|PORTOVELO
37857|EL EMPALME
37858|GUAYAQUIL
37859|GUAYAQUIL
37860|GUAYAQUIL
37861|PIÑAS
37862|PEDERNALES
37863|GUAYAQUIL
37864|GUAYAQUIL
37865|PEDERNALES
37866|GUAYAQUIL
37867|MANTA
37868|MACHALA
37869|GUAYAQUIL
37870|BOLÍVAR
37871|CHONE
37872|GUAYAQUIL
37873|GUAYAQUIL
37874|SALINAS
37875|MANTA
37876|MILAGRO
37877|GUAYAQUIL
37878|CHONE
37879|PUERTO LÓPEZ
37880|NARANJAL
37881|GUAYAQUIL
37882|GUAYAQUIL
37883|GUAYAQUIL
37884|GUAYAQUIL
37885|GUAYAQUIL
37886|GUAYAQUIL
37887|GUAYAQUIL
37888|GUAYAQUIL
37889|GUAYAQUIL
37890|GUAYAQUIL
37891|SALINAS
37892|GUAYAQUIL
37893|GUAYAQUIL
37894|GUAYAQUIL
37895|GUAYAQUIL
37896|SAMBORONDÓN
37897|GUAYAQUIL
37898|GUAYAQUIL
37899|GUAYAQUIL
37900|GUAYAQUIL
37901|GUAYAQUIL
37902|GUAYAQUIL
37903|GUAYAQUIL
37904|GUAYAQUIL
37905|GUAYAQUIL
37906|GUAYAQUIL
37907|HUAQUILLAS
37908|GUAYAQUIL
37909|GUAYAQUIL
37910|GUAYAQUIL
37911|PEDERNALES
37912|GUAYAQUIL
37913|GUAYAQUIL
37914|MANTA
37915|MACHALA
37916|ARENILLAS
37917|HUAQUILLAS
37918|PUERTO LÓPEZ
37919|MANTA
37920|GUAYAQUIL
37921|PUERTO LÓPEZ
37922|PUERTO LÓPEZ
37923|SAMBORONDÓN
37924|GUAYAQUIL
37925|GUAYAQUIL
37926|GUAYAQUIL
37927|GUAYAQUIL
37928|GUAYAQUIL
37929|MANTA
37930|PORTOVIEJO
37931|GUAYAQUIL
37932|GUAYAQUIL
37933|MANTA
37934|SALINAS
37935|SAMBORONDÓN
37936|PUERTO LÓPEZ
37937|SANTA ELENA
37938|SANTA ELENA
37939|VINCES
37940|GUAYAQUIL
37941|PUERTO LÓPEZ
37942|GUAYAQUIL
37943|GUAYAQUIL
37944|GUAYAQUIL
37945|GUAYAQUIL
37946|SANTA ELENA
37947|GUAYAQUIL
37948|GUAYAQUIL
37949|SUCRE
37950|GUAYAQUIL
37951|SUCRE
37952|GUAYAQUIL
37953|SAN VICENTE
37954|SANTA ELENA
37955|LA LIBERTAD
37956|PORTOVIEJO
37957|GUAYAQUIL
37958|MANTA
37959|GUAYAQUIL
37960|GUAYAQUIL
37961|GUAYAQUIL
37962|GUAYAQUIL
37963|GUAYAQUIL
37964|MANTA
37965|MANTA
37966|MANTA
37967|MONTALVO
37968|SANTA ELENA
37969|PLAYAS
37970|SANTA ELENA
37971|DAULE
37972|SANTA ELENA
37973|SANTA ELENA
37974|GUAYAQUIL
37975|SAN VICENTE
37976|GUAYAQUIL
37977|GUAYAQUIL
37978|SALINAS
37979|SANTA ROSA
37980|MANTA
37981|MANTA
37982|MANTA
37983|MANTA
37984|ARENILLAS
37985|MANTA
37986|MANTA
37987|PASAJE
37988|MANTA
37989|MANTA
37990|SANTA ROSA
37991|MANTA
37992|MANTA
37993|MANTA
37994|MANTA
37995|MANTA
37996|MANTA
37997|MANTA
37998|MANTA
37999|MANTA
38000|MANTA
38001|MANTA
38002|MANTA
38003|MANTA
38004|MANTA
38005|MANTA
38006|MANTA
38007|PASAJE
38008|GUAYAQUIL
38009|MANTA
38010|MANTA
38011|MANTA
38012|MANTA
38013|MANTA
38014|MANTA
38015|MANTA
38016|MANTA
38017|GUAYAQUIL
38018|MANTA
38019|MANTA
38020|URBINA (EL SALITRE (LAS RAMAS), CAB CANTONAL)
38021|SANTA ELENA 
38022|HUAQUILLAS
38023|GUAYAQUIL
38024|PORTOVIEJO
38025|GUAYAQUIL
38026|GUAYAQUIL
38027|MANTA
38028|GUAYAQUIL
38029|ZARUMA
38030|PUERTO LÓPEZ
38031|GUAYAQUIL
38032|MANTA
38033|SALINAS
38034|SALINAS
38035|MACHALA
38036|MANTA
38037|GUAYAQUIL
38038|SANTA ROSA
38039|PORTOVIEJO
38040|GUAYAQUIL
38041|GUAYAQUIL
38042|GUAYAQUIL
38043|GUAYAQUIL
38044|GUAYAQUIL
38045|GUAYAQUIL
38046|GUAYAQUIL
38047|GUAYAQUIL
38048|GUAYAQUIL
38049|GUAYAQUIL
38050|QUEVEDO
38051|GUAYAQUIL
38052|GUAYAQUIL
38053|DAULE
38054|PEDERNALES
38055|SAMBORONDÓN
38056|GUAYAQUIL
38057|GUAYAQUIL
38058|PORTOVIEJO
38059|PORTOVIEJO
38060|GUAYAQUIL
38061|LA LIBERTAD
38062|MACHALA
38063|SANTA ELENA
38064|GUAYAQUIL
38065|PEDERNALES
38066|SALINAS
38067|GUAYAQUIL
38068|SALINAS
38069|PORTOVIEJO
38070|SANTA ELENA 
38071|PORTOVIEJO
38072|PORTOVIEJO
38073|EL TRIUNFO
38074|SANTA ELENA
38075|SANTA ELENA
38076|PUERTO LÓPEZ
38077|MANTA
38078|GUAYAQUIL
38079|MACHALA
38080|GUAYAQUIL
38081|GUAYAQUIL
38082|GUAYAQUIL
38083|SANTA ELENA
38084|MANTA
38085|SAMBORONDÓN
38086|GUAYAQUIL
38087|GUAYAQUIL
38088|GUAYAQUIL
38089|PORTOVIEJO
38090|SUCRE
38091|GUAYAQUIL
38092|SAMBORONDÓN
38093|GUAYAQUIL
38094|MANTA
38095|SALINAS
38096|SANTA ELENA
38097|PORTOVIEJO
38098|VINCES
38099|MANTA
38100|SAMBORONDÓN
38101|MACHALA
38102|GUAYAQUIL
38103|SAMBORONDÓN
38104|GUAYAQUIL
38105|DURÁN
38106|GUAYAQUIL
38107|GUAYAQUIL
38108|DAULE
38109|GUAYAQUIL
38110|ZARUMA
38111|SANTA ELENA
38112|PORTOVIEJO
38113|GUAYAQUIL
38114|GUAYAQUIL
38115|GUAYAQUIL
38116|GUAYAQUIL
38117|BABAHOYO
38118|GUAYAQUIL
38119|GUAYAQUIL
38120|MACHALA
38121|PORTOVIEJO
38122|SAMBORONDÓN
38123|BABAHOYO
38124|SAMBORONDÓN
38125|SALINAS
38126|GUAYAQUIL
38127|SALINAS
38128|MANTA
38129|PORTOVIEJO
38130|GUAYAQUIL
38131|SANTA ELENA
38132|SUCRE
38133|GUAYAQUIL
38134|GUAYAQUIL
38135|GUAYAQUIL
38136|GUAYAQUIL
38137|GUAYAQUIL
38138|SAMBORONDÓN
38139|GUAYAQUIL
38140|GUAYAQUIL
38141|GUAYAQUIL
38142|PORTOVIEJO
38143|SAMBORONDÓN
38144|MACHALA
38145|MANTA
38146|GUAYAQUIL
38147|MANTA
38148|MANTA
38149|MANTA
38150|MANTA
38151|MANTA
38152|MANTA
38153|GUAYAQUIL
38154|PEDERNALES
38155|PORTOVIEJO
38156|GUAYAQUIL
38157|PORTOVIEJO
38158|GUAYAQUIL
38159|MANTA
38160|GUAYAQUIL
38161|GUAYAQUIL
38162|PLAYAS
38163|GUAYAQUIL
38164|GUAYAQUIL
38165|PORTOVIEJO
38166|MACHALA
38167|GUAYAQUIL
38168|GUAYAQUIL
38169|GUAYAQUIL
38170|GUAYAQUIL
38171|GUAYAQUIL
38172|GUAYAQUIL
38173|GUAYAQUIL
38174|SANTA ROSA
38175|MILAGRO
38176|PORTOVIEJO
38177|MANTA
38178|SANTA ROSA
38179|GUAYAQUIL
38180|GUAYAQUIL
38181|PORTOVIEJO
38182|SAMBORONDÓN
38183|GUAYAQUIL
38184|SAMBORONDÓN
38185|SAMBORONDÓN
38186|GUAYAQUIL
38187|GUAYAQUIL
38188|MANTA
38189|GUAYAQUIL
38190|GUAYAQUIL
38191|VINCES
38192|GUAYAQUIL
38193|GUAYAQUIL
38194|PORTOVIEJO
38195|MANTA
38196|PUERTO LÓPEZ
38197|MACHALA
38198|GUAYAQUIL
38199|GUAYAQUIL
38200|PORTOVIEJO
38201|MANTA
38202|SAN VICENTE
38203|MANTA
38204|SAMBORONDÓN
38205|GUAYAQUIL
38206|GUAYAQUIL
38207|GUAYAQUIL
38208|PEDERNALES
38209|MACHALA
38210|GUAYAQUIL
38211|SAMBORONDÓN
38212|SAMBORONDÓN
38213|QUEVEDO
38214|PORTOVIEJO
38215|MANTA
38216|SANTA ELENA
38217|SANTA ELENA
38218|SANTA ELENA
38219|SUCRE
38220|PORTOVIEJO
38221|SAN VICENTE
38222|MARCABELÍ
38223|GUAYAQUIL
38224|SANTA ROSA
38225|PLAYAS
38226|PEDERNALES
38227|SANTA ELENA
38228|PEDERNALES
38229|MACHALA
38230|GUAYAQUIL
38231|GUAYAQUIL
38232|GUAYAQUIL
38233|GUAYAQUIL
38234|GUAYAQUIL
38235|MANTA
38236|GUAYAQUIL
38237|GUAYAQUIL
38238|LA LIBERTAD
38239|GUAYAQUIL
38240|GUAYAQUIL
38241|GUAYAQUIL
38242|PEDERNALES
38243|MACHALA
38244|MACHALA
38245|GUAYAQUIL
38246|SANTA ELENA
38247|SANTA ROSA
38248|GENERAL ANTONIO ELIZALDE
38249|SANTA ELENA
38250|PIÑAS
38251|GUAYAQUIL
38252|GUAYAQUIL
38253|GUAYAQUIL
38254|GUAYAQUIL
38255|GUAYAQUIL
38256|GUAYAQUIL
38257|GUAYAQUIL
38258|GUAYAQUIL
38259|GUAYAQUIL
38260|LA LIBERTAD
38261|GUAYAQUIL
38262|GUAYAQUIL
38263|SUCRE
38264|GUAYAQUIL
38265|MANTA
38266|SALINAS
38267|GUAYAQUIL
38268|GUAYAQUIL
38269|SUCRE
38270|GUAYAQUIL
38271|GUAYAQUIL
38272|GUAYAQUIL
38273|GUAYAQUIL
38274|JIPIJAPA
38275|GUAYAQUIL
38276|SANTA ELENA
38277|SAMBORONDÓN
38278|GUAYAQUIL
38279|SANTA ELENA
38280|GUAYAQUIL
38281|GUAYAQUIL
38282|GUAYAQUIL
38283|GUAYAQUIL
38284|GUAYAQUIL
38285|GUAYAQUIL
38286|GUAYAQUIL
38287|GUAYAQUIL
38288|GUAYAQUIL
38289|GUAYAQUIL
38290|GUAYAQUIL
38291|GUAYAQUIL
38292|SAMBORONDÓN
38293|DAULE
38294|SAMBORONDÓN
38295|GUAYAQUIL
38296|GUAYAQUIL
38297|PORTOVIEJO
38298|GUAYAQUIL
38299|GUAYAQUIL
38300|GUAYAQUIL
38301|PUERTO LÓPEZ
38302|JIPIJAPA
38303|MANTA
38304|HUAQUILLAS
38305|SANTA ELENA
38306|GUAYAQUIL
38307|GUAYAQUIL
38308|GUAYAQUIL
38309|LA LIBERTAD
38310|ROCAFUERTE
38311|HUAQUILLAS
38312|JIPIJAPA
38313|SALINAS
38314|PUERTO LÓPEZ
38315|PUERTO LÓPEZ
38316|SANTA ELENA 
38317|MANTA
38318|MANTA
38319|MONTALVO
38320|MANTA
38321|JAMA
38322|PUERTO LÓPEZ
38323|MONTECRISTI
38324|MANTA
38325|SUCRE
38326|SAN VICENTE
38327|SANTA ANA
38328|PUERTO LÓPEZ
38329|SUCRE
38330|PUERTO LÓPEZ
38331|PORTOVIEJO
38332|GUAYAQUIL
38333|GUAYAQUIL
38334|PORTOVIEJO
38335|GUAYAQUIL
38336|GUAYAQUIL
38337|GUAYAQUIL
38338|MANTA
38339|PORTOVIEJO
38340|GUAYAQUIL
38341|SALINAS
38342|GUAYAQUIL
38343|GUAYAQUIL
38344|GUAYAQUIL
38345|GUAYAQUIL
38346|SAMBORONDÓN
38347|GUAYAQUIL
38348|GUAYAQUIL
38349|GUAYAQUIL
38350|GUAYAQUIL
38351|GUAYAQUIL
38352|GUAYAQUIL
38353|DAULE
38354|GUAYAQUIL
38355|GUAYAQUIL
38356|GUAYAQUIL
38357|SAMBORONDÓN
38358|GUAYAQUIL
38359|SAMBORONDÓN
38360|SAMBORONDÓN
38361|MILAGRO
38362|DURÁN
38363|GUAYAQUIL
38364|GUAYAQUIL
38365|GUAYAQUIL
38366|BABAHOYO
38367|GUAYAQUIL
38368|DAULE
38369|GUAYAQUIL
38370|DAULE
38371|GUAYAQUIL
38372|GUAYAQUIL
38373|GUAYAQUIL
38374|GUAYAQUIL
38375|SAMBORONDÓN
38376|PORTOVIEJO
38377|MANTA
38378|GUAYAQUIL
38379|SAMBORONDÓN
38380|DURÁN
38381|GUAYAQUIL
38382|GUAYAQUIL
38383|GUAYAQUIL
38384|GUAYAQUIL
38385|GUAYAQUIL
38386|GUAYAQUIL
38387|GUAYAQUIL
38388|GUAYAQUIL
38389|GUAYAQUIL
38390|MANTA
38391|GUAYAQUIL
38392|GUAYAQUIL
38393|GUAYAQUIL
38394|GUAYAQUIL
38395|GUAYAQUIL
38396|BABAHOYO
38397|MANTA
38398|SANTA ELENA
38399|GENERAL ANTONIO ELIZALDE
38400|MILAGRO
38401|NARANJITO
38402|SAN JACINTO DE YAGUACHI
38403|PORTOVIEJO
38404|MANTA
38405|MANTA
38406|GUAYAQUIL
38407|GUAYAQUIL
38408|LA LIBERTAD
38409|SAN VICENTE
38410|GUAYAQUIL
38411|MACHALA
38412|GUAYAQUIL
38413|SANTA ELENA
38414|GUAYAQUIL
38415|QUEVEDO
38416|GUAYAQUIL
38417|GUAYAQUIL
38418|GUAYAQUIL
38419|GUAYAQUIL
38420|PUERTO LÓPEZ
38421|MANTA
38422|GUAYAQUIL
38423|MACHALA
38424|BABAHOYO
38425|GUAYAQUIL
38426|GUAYAQUIL
38427|GUAYAQUIL
38428|GUAYAQUIL
38429|MANTA
38430|GUAYAQUIL
38431|MANTA
38432|MANTA
38433|MANTA
38434|MANTA
38435|SANTA ELENA
38436|MANTA
38437|GUAYAQUIL
38438|GUAYAQUIL
38439|MANTA
38440|PUERTO LÓPEZ
38441|GUAYAQUIL
38442|GUAYAQUIL
38443|GUAYAQUIL
38444|GUAYAQUIL
38445|DAULE
38446|LA LIBERTAD
38447|PORTOVIEJO
38448|SAMBORONDÓN
38449|GUAYAQUIL
38450|GUAYAQUIL
38451|GUAYAQUIL
38452|GUAYAQUIL
38453|GUAYAQUIL
38454|GUAYAQUIL
38455|GUAYAQUIL
38456|SAMBORONDÓN
38457|PEDERNALES
38458|BOLÍVAR
38459|GUAYAQUIL
38460|SAN VICENTE
38461|GUAYAQUIL
38462|PORTOVIEJO
38463|PEDERNALES
38464|QUEVEDO
38465|QUEVEDO
38466|GUAYAQUIL
38467|MANTA
38468|GUAYAQUIL
38469|GUAYAQUIL
38470|MILAGRO
38471|GUAYAQUIL
38472|MANTA
38473|MONTALVO
38474|MACHALA
38475|MONTALVO
38476|PORTOVIEJO
38477|SALINAS
38478|MANTA
38479|MANTA
38480|SANTA ELENA
38481|GUAYAQUIL
38482|SANTA ROSA
38483|SALINAS
38484|PUERTO LÓPEZ
38485|SAN VICENTE
38486|PUERTO LÓPEZ
38487|SUCRE
38488|MACHALA
38489|PORTOVIEJO
38490|MANTA
38491|MANTA
38492|MANTA
38493|GUAYAQUIL
38494|BALSAS
38495|GUAYAQUIL
38496|GUAYAQUIL
38497|GUAYAQUIL
38498|GUAYAQUIL
38499|GUAYAQUIL
38500|GUAYAQUIL
38501|GUAYAQUIL
38502|GUAYAQUIL
38503|GUAYAQUIL
38504|GUAYAQUIL
38505|GUAYAQUIL
38506|GUAYAQUIL
38507|GUAYAQUIL
38508|GUAYAQUIL
38509|GUAYAQUIL
38510|GUAYAQUIL
38511|GUAYAQUIL
38512|GUAYAQUIL
38513|GUAYAQUIL
38514|GUAYAQUIL
38515|GUAYAQUIL
38516|GUAYAQUIL
38517|GUAYAQUIL
38518|SAMBORONDÓN
38519|SAN VICENTE
38520|SAN VICENTE
38521|SAN VICENTE
38522|SAN VICENTE
38523|SAN VICENTE
38524|SAN VICENTE
38525|GUAYAQUIL
38526|BABAHOYO
38527|MACHALA
38528|GUAYAQUIL
38529|MANTA
38530|MACHALA
38531|MACHALA
38532|GUAYAQUIL
38533|SANTA ELENA
38534|PORTOVIEJO
38535|LA LIBERTAD
38536|HUAQUILLAS
38537|HUAQUILLAS
38538|SAMBORONDÓN
38539|DAULE
38540|GUAYAQUIL
38541|GUAYAQUIL
38542|GUAYAQUIL
38543|GUAYAQUIL
38544|GUAYAQUIL
38545|DAULE
38546|GUAYAQUIL
38547|SALINAS
38548|MANTA
38549|BABAHOYO
38550|BABAHOYO
38551|SALINAS
38552|MANTA
38553|EL TRIUNFO
38554|MANTA
38555|MANTA
38556|GUAYAQUIL
38557|GUAYAQUIL
38558|MANTA
38559|PLAYAS
38560|GUAYAQUIL
38561|PORTOVIEJO
38562|PORTOVIEJO
38563|GUAYAQUIL
38564|SALINAS
38565|MACHALA
38566|GUAYAQUIL
38567|GUAYAQUIL
38568|GUAYAQUIL
38569|GUAYAQUIL
38570|GUAYAQUIL
38571|GUAYAQUIL
38572|GUAYAQUIL
38573|GUAYAQUIL
38574|SALINAS
38575|SALINAS
38576|SALINAS
38577|GUAYAQUIL
38578|GUAYAQUIL
38579|DAULE
38580|LA LIBERTAD
38581|MANTA
38582|PLAYAS
38583|GUAYAQUIL
38584|DAULE
38585|SUCRE
38586|GUAYAQUIL
38587|PORTOVIEJO
38588|GUAYAQUIL
38589|GUAYAQUIL
38590|JIPIJAPA
38591|SAMBORONDÓN
38592|SALINAS
38593|GUAYAQUIL
38594|SANTA ROSA
38595|GUAYAQUIL
38596|BABAHOYO
38597|QUEVEDO
38598|SAMBORONDÓN
38599|GUAYAQUIL
38600|GUAYAQUIL
38601|DURÁN
38602|GUAYAQUIL
38603|MACHALA
38604|GUAYAQUIL
38605|SANTA ELENA
38606|SALINAS
38607|FLAVIO ALFARO
38608|PUERTO LÓPEZ
38609|PORTOVELO
38610|SANTA ELENA
38611|GUAYAQUIL
38612|SANTA ELENA
38613|SALINAS
38614|EL EMPALME
38615|BABAHOYO
38616|PORTOVIEJO
38617|PORTOVIEJO
38618|MILAGRO
38619|MANTA
38620|PIÑAS
38621|SANTA ELENA 
38622|BABAHOYO
38623|MANTA
38624|SANTA ELENA
38625|SANTA ELENA
38626|GUAYAQUIL
38627|GUAYAQUIL
38628|SANTA ELENA
38629|SUCRE
38630|SUCRE
38631|DAULE
38632|QUEVEDO
38633|GUAYAQUIL
38634|SAN VICENTE
38635|GUAYAQUIL
38636|GUAYAQUIL
38637|GUAYAQUIL
38638|PUERTO LÓPEZ
38639|GUAYAQUIL
38640|GUAYAQUIL
38641|GUAYAQUIL
38642|GUAYAQUIL
38643|GUAYAQUIL
38644|PORTOVIEJO
38645|SANTA ELENA
38646|SANTA ELENA
38647|MACHALA
38648|SAMBORONDÓN
38649|GUAYAQUIL
38650|GUAYAQUIL
38651|GUAYAQUIL
38652|SANTA ELENA 
38653|PUERTO LÓPEZ
38654|SAMBORONDÓN
38655|BALSAS
38656|PORTOVIEJO
38657|QUEVEDO
38658|SANTA ELENA
38659|MANTA
38660|PORTOVIEJO
38661|PORTOVIEJO
38662|SUCRE
38663|GUAYAQUIL
38664|MACHALA
38665|PUERTO LÓPEZ
