id|Nombre Comercial|Clasificación|Dirección|Referencia de Dirección |Teléfona Principal|Teléfono Secundario|Correo Electrónico|Dirección web|Horario de atención |estimacion de usuarios mensual|id_1
10| CHIFA SHENG FENG 2|RESTAURANTE|MANUEL GALACIO 1514 Y LOS RIOS||99835888||mayitosi65@hotmail.com||Lunes a sabado de 08:00 a22:00|194|7506
11| CINNABON|FUENTE DE SODA|AV. BOMBERO, C.C. RIOCENTRO LOS CEIBOS, PISO 2||985432150||br31@baskin-cinnabon.com.ec||Lunes a viernes  06:00 a 20:00|166|7507
12| CRUCIBELLA|OPERADOR TURÍSTICO|18 S/N SN|A 300 MTS. DE LA TIENDA Y FERRETERIA POPULAR. BAJADA IGLESIA GUADALUPE A 100 MTS DE LA PLAYA|52340011|997220408|robinmaxic845@hotmail.com||Lunes a viernes de 08:00 a 18:00|215|7508
13| ESQUINA DE FERCHIS LA|FUENTE DE SODA|CIUDADELA JUBONES MZ 4 V5||2916352||||Lunes a viernes  06:00 a 20:00|101|7509
14| ESTACION 5|FUENTE DE SODA|AV.108 Y C. 108 S/N||2384688||||Lunes a viernes  06:00 a 20:00|127|7510
15| HOSTAL ADELE|HOSTAL|LAS ACACIAS SN CALLE MARIA INMACULADA|DIAGONAL AL MUSEO DE SALANGO|42672990|991527074|s_abel@hotmail.com|| Lunes a domingo 24 horas|159|7511
16| LA CENTRAL |CAFETERÍA|PANAMÁ 604 Y GRAL. ALM. MANUEL LUZURRAGA||99314852||mafer_ce@hotmail.com||Lunes a Viernes 08h30 a 17h00|114|7512
17| LEO INN|HOTEL|CALLE 8 Y 6 AVE. 9 ||52610617||carlosopaucarg@hotmail.com ||Lunes a Domingo 24 horas|242|7513
18| MINI|HOSTAL|Av.Tnt.Condovez sn Portovelo| DiagonalCooperrativadeTransporteAzuay |982975714||camturih-cam@hotmail.com|| Lunes a domingo 24 horas|175|7514
19| PISCINA SAN ANDRÉS PARK|TERMAS Y BALNEARIOS|KM 1 VÍA CHADE||2601213||ingjonasmacias@hotmail.com||Lunes a sabado de 06:00 a22:00|105|7515
20| RESTAURANTE RINCON MARINERO #2|RESTAURANTE|MALECON ESENICO MURCIELAGO||2624723||||Lunes a sabado de 08:00 a22:00|232|7516
21| ROCIO EL|FUENTE DE SODA|ELOY ALFARO/OLMEDO GUA.||||||Lunes a viernes  06:00 a 20:00|125|7517
22| SAN VALENTIN|HOSTERÍA|VIA POZA HONDA S/N GUARUMO ADENTRO| FRENTE A PUENTE PEATONAL |993435276||loorvalentin@hotmail.com||Lunes a Domingo 24 horas|142|7518
23| SANDUCHES D' CHANCHO DIBOCCA|FUENTE DE SODA|AVDA. 2 E/CALLES 9 Y 10 No. 941||||cirolouise@yahoo.com||Lunes a viernes  06:00 a 20:00|191|7519
24| TIBURON EL|RESTAURANTE|HORACIO IDROVO Y MUNICIPAL||2640265||joseraisaltos@hotmail.com||Lunes a sabado de 08:00 a22:00|114|7520
25| WILD BAR|BAR|AV. FLAVIO REYES Y AV. 26||52627690||alejandrochirivogawb@gmail.com||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|225|7521
26| YOGURT PERSA|FUENTE DE SODA|URDESA, CALLE QUINTA 715 Y GUAYACANES ||6044207||maricarmen.g.h28@gmail.com||Lunes a viernes  06:00 a 20:00|227|7522
27|@ MAMITA´S BEACH CLUB|DISCOTECA|CARBO VITERI - CALLE 44 Y AV. 18||||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|163|7523
28|¡VAMOS! TOURS AND TRAVEL|AGENCIA DE VIAJES DUAL|AVE. CARLOS J. AROSEMENA OF. 101 EDIF MAQSUM|A 400 METROS DE LA GARITA|46053226|985064953|gerencia@vamostoursandtravel.com||Lunes a Viernes 08h30 a 17h30|111|7524
29|¿POR QUE NO?|RESTAURANTE|Avenida 10 de Agosto y calle de los cocteles|| || ||Lunes a sabado de 08:00 a22:00|132|7525
30|100 % CHONERO|RESTAURANTE|PRINCIPAL, ENTRE JOSE MARIA M. Y SANTO TOMAS||||||Lunes a sabado de 08:00 a22:00|112|7526
31|100 MONTADITOS|RESTAURANTE||ALADO DE EDDY S BBQ|958815074|999608973|100montaditosec@gmail.com||Lunes a sabado de 08:00 a22:00|131|7527
32|100 MONTADITOS|RESTAURANTE|AV. JOAQUIN ORRANTIA GONZALEZ S/N JUAN TANCA MARENGO| C. C. MALL DEL SOL, LOCAL 5, SECTOR PUENTE, ZONA GOURMET. |982524881|44649462|ivy_jacqueline_537@hotmail.com||Lunes a sabado de 08:00 a22:00|164|7528
33|100% CHONERO|RESTAURANTE|CDLA. KENNEDY NUEVA, MZ. 25, SL. 26||2288379||||Lunes a sabado de 08:00 a22:00|177|7529
34|100% SALSA|DISCOTECA|LORENZO DE GARAICOA #3402 Y GENERAL GOMEZ||2440115||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|101|7530
35|15  DE  AGOSTO|RESTAURANTE|CUENCA  # 318  Y  CHILE||2846079||||Lunes a sabado de 08:00 a22:00|129|7531
36|2 MAS DOS|DISCOTECA|SALINAS SECTOR ACRBO VITERI AVENIDA MALECON||||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|223|7532
37|200 MILLAS|RESTAURANTE|HONORATO MARQUEZ E/ SUCRE Y ALONSO DE MERCADILLO||2972600||carmitamacas@hotmail.com||Lunes a sabado de 08:00 a22:00|228|7533
38|200 MILLAS|RESTAURANTE|P. ICAZA 420-E Y CORDOVA, PB., LOCAL 2-3||6017702||restaurante200millas2@hotmail.com||Lunes a sabado de 08:00 a22:00|229|7534
39|247CONSOLIDATE S.A|AGENCIA DE VIAJES MAYORISTA|JUNIN 203 PANAMA|FRENTE AL BANCO BOLIVARIANO|46011600|984844882|contadorgeneral@24-7consolidate.com|www.24-7consolidate.com|Lunes a Viernes 08h30 a 17h30|158|7535
40|2ND STREET BISTRO & TAPAS BAR|RESTAURANTE||A UNA CUADRA DEL RESTAURANTE MAR Y TIERRA|991919072|980790722|valeriekulla@gmail.com||Lunes a sabado de 08:00 a22:00|232|7536
41|3 DELICIAS LAS|RESTAURANTE|CALLE PORTETE #818 Y LORENZO DE GARAYCOA||2341201||||Lunes a sabado de 08:00 a22:00|250|7537
42|3 P PARAISO PERSA PEDRAM|RESTAURANTE|AV. MALECON SIMON BOLIVAR S/N Y 10 DE AGOSTO. C.C. MALECON 2000, LC.15||92015568||||Lunes a sabado de 08:00 a22:00|177|7538
43|360 SUBS LOUNGE|CAFETERÍA|CIUDADELA ULEAM MZ. AD L-07||984052018||jessyviar8@hotmail.com||Lunes a Viernes 08h30 a 17h00|188|7539
44|3P - PARAISO PERSA PEDRAM|FUENTE DE SODA|SUCRE # 202 Y PICHINCHA||992015568||||Lunes a viernes  06:00 a 20:00|200|7540
45|4 HERMANOS MANABAS|RESTAURANTE|FRANCISCO SEGURA S/N ENTRE CALLE 20AVA Y 19AVA||94166010||||Lunes a sabado de 08:00 a22:00|129|7541
46|5 ESTRELLA|TERMAS Y BALNEARIOS|LOT VILLAMARIMA MZ-E||||angelaestrada19662@gmail.com||Lunes a sabado de 06:00 a22:00|197|7542
47|593MASTRAVEL|OPERADOR TURÍSTICO|LOS RIOS 609 ENTRE PRIMERO DE MAYO Y QUISQUIS| FRENTE A GIMNASIO OLYMPIC |42881379||contadora@593mastravel.com.ec|www.593mastravel.com.ec|Lunes a viernes de 08:00 a 18:00|194|7543
48|6 DE OCTUBRE|RESTAURANTE|AV. 6 DE OCTUBRE S/N Y CHOPITEA ||52732753||juliopazjumenez@outlook.com||Lunes a sabado de 08:00 a22:00|203|7544
49|7 CASCADAS TRAVEL|OPERADOR TURÍSTICO|VIA NARANJAL - BALAO S/N S/N| FRENTE A CAPILLA CATOLICA    SECTOR 7 CASCADAS    COOP. 23 DE NOVIEMBRE |995551573||hayasexpedition@gmail.com||Lunes a viernes de 08:00 a 18:00|221|7545
50|7 MARES|RESTAURANTE|CALLE 110 A. MALECON PARQUE DEL MARISCO||||annyli82@hotmail.com||Lunes a sabado de 08:00 a22:00|100|7546
51|7 MARES|RESTAURANTE|PARQUE DEL MARISCO TARQUI||||||Lunes a sabado de 08:00 a22:00|108|7547
52|80' S LOS|BAR|URDESA, AV. LAS MONJAS S/N Y AV. CARLOS JULIO AROSEMENA, C.C. AVENTURA PLAZA, LOCAL 12-C||2220203||cfalcones@corporacionfalcones.com|www.barlosochenta.com|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|130|7548
53|9 DE OCTUBRE|HOTEL|AVENIDA 9 DE OCTUBRE 736 GARCÍA AVILES| FRENTE A COMANDATO Y DIAGONAL A MI COMISARIATO |42564195|42564222|coinlebra@hotmail.com||Lunes a Domingo 24 horas|125|7549
54|A & D TRAVEL|AGENCIA DE VIAJES INTERNACIONAL|VIA A LA COSTA, MZ. 211, SOLAR 1, C.C. BLUE COAST, LOCAL 2||2877318||alexitaastudillo@hotmail.com||Lunes a Viernes 08h30 a 17h30|245|7550
55|A DONDE DANILO|RESTAURANTE|AV. EUGENIO CAJAMARCAY MONGOTMERY SANCHEZ||72161066||||Lunes a sabado de 08:00 a22:00|197|7551
56|A FUEGO LENTO GRILL|RESTAURANTE|VICTOR EMILIO ESTRADA  812 GUAYACANES| A LADO&nbsp  DE RESTURANTE PERUANO&nbsp  HUACATAY |992665141|42446899|ktorres2159@gmail.com||Lunes a sabado de 08:00 a22:00|216|7552
57|A LA PARRILLA|RESTAURANTE||A 200 METROS DE CLINICA TRAUMATOLOGICA|969002234|969002234|abrahamsegovia9026@gmail.com||Lunes a sabado de 08:00 a22:00|130|7553
58|A LA PARRILLA|RESTAURANTE|AV. 24 CALLE 9||||||Lunes a sabado de 08:00 a22:00|182|7554
59|A PURO FOGON|RESTAURANTE|VIA PANAMERICANA SUR SANTA ROSA-MACHALA||||rmacias1976@gmail.com||Lunes a sabado de 08:00 a22:00|229|7555
60|A=HA BAR|BAR||A DOS CUADRAS DEL HOSPITAL DEL IESS|967888685|967588685|patyalvarado@hotmail.es||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|158|7556
61|AARON EL BALLENERO|HOSTAL|8 de diciembre S/N s/n baudilio gonzalez|''|52300328|967288342|ballenerohostal@hotmail.com|| Lunes a domingo 24 horas|210|7557
62|AB TOUR OPERTRANAB S.A.|TRANSPORTE TERRESTRE|AV. 17 DE SEPTIEMBRE 68-0 Y PORTOVIEJO, PB. PISO 1 OFICINA 1||2973502||cpa_mirnamorocho@hotmail.com||Lunes a domingo 24 horas|140|7558
63|ABAD LOUNGE|DISCOTECA||| || ||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|138|7559
64|ABC RENT A  CAR|TRANSPORTE TERRESTRE|CDLA. SIMON BOLIVAR - HERMANO MIGUEL, SOLAR #56, MZ. 2||||||Lunes a domingo 24 horas|178|7560
65|ABRIMAGEN|RESTAURANTE|SAMANES UNO, MZ. 101, SL. 8||2214827||||Lunes a sabado de 08:00 a22:00|175|7561
66|ABUELO PARRANDERO|BAR|CALLE 12 Y 13 AV. 6||||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|105|7562
67|ACAPULCO|RESTAURANTE|ESCOBEDO 1108 Y P. ICAZA||||||Lunes a sabado de 08:00 a22:00|221|7563
68|ACUARIO|HOSTAL|LUQUE 1204 Y QUITO||2533671|||| Lunes a domingo 24 horas|101|7564
69|ACUARIO ABDUL|RESTAURANTE|CDLA. BEATA MERCEDES MOLINA, BLOQUE 17, LOCAL 1||3910048||||Lunes a sabado de 08:00 a22:00|166|7565
70|ACUARIO EL |RESTAURANTE|MALECON DE TARQUI PARQUE DE MARISCO||2383170||mecp19@yahoo.com||Lunes a sabado de 08:00 a22:00|209|7566
71|ACUARIO PISCINAS Y EVENTOS|TERMAS Y BALNEARIOS|CALLE 321 Y AV 208||||rossyintriago@hotmail.com||Lunes a sabado de 06:00 a22:00|100|7567
72|ADANCRIS|RESTAURANTE|CDLA. NAVAL NORTE SL.12-A MZ.6||2690706||||Lunes a sabado de 08:00 a22:00|198|7568
73|ADDICTION´S |RESTAURANTE|LOS RIOS 301 ENTRE LUIS VERNAZA Y PADRE SOLANO||||||Lunes a sabado de 08:00 a22:00|156|7569
74|ADELITA|RESTAURANTE|BARRIO BUENA VISTA||||||Lunes a sabado de 08:00 a22:00|134|7570
75|ADELITA|RESTAURANTE|P.P. GOMEZ 268 Y PIO MONTUFAR.||2411812||||Lunes a sabado de 08:00 a22:00|179|7571
76|ADINEPLUS|AGENCIA DE VIAJES MAYORISTA|BOYACA 642 Y PADRE SOLANO. EDIF. EL TORREON, PISO 7, OF. 7-A||2561421||tourpromo@adineplus.com|www.mapaplus.com|Lunes a Viernes 08h30 a 17h30|177|7572
77|ADONAIS|RESTAURANTE|CHAVES FRANCO Y OLMEDO||||||Lunes a sabado de 08:00 a22:00|179|7573
78|ADRIAND S|HOTEL|AV. JOSE UGARTE MOLINA S/N GONZALO CORDOVA||72927531|984888544|administracion@hoteladriands.com|www.hoteladriands.com|Lunes a Domingo 24 horas|225|7574
79|ADRIANITA LISSETTE|RESTAURANTE|CDLA. SAUCES SEIS, SOLAR #15, MZ. 268||2823745||||Lunes a sabado de 08:00 a22:00|137|7575
80|ADVANTAGE TRAVEL|OPERADOR TURÍSTICO|MALECON JULIO IZURIETA Y GENERAL CORDOVA||94044050||advantagetravel@andinanet.net|www.advantageecuador.com|Lunes a viernes de 08:00 a 18:00|145|7576
81|AEROBARBARA|TRANSPORTE AÉREO|AV. DE LAS AMERICAS S/N EDIFICIO AEROPUERTO JOSE JOAQUIN DE OLMEDO 3ER PISO||2169108||gerenciagyeato@santabarbaraairlines.com|www.sba.com|Lunes a domingo 24 horas|145|7577
82|AERODESTINOS|AGENCIA DE VIAJES DUAL|C.C. PLAZA TIA LA JOYA, LOCAL 18||42732424||vicky-s-g@hotmail.com||Lunes a Viernes 08h30 a 17h30|192|7578
83|AEROLANE|TRANSPORTE AÉREO|AV. DE LAS AMERICAS S/N. AEROPUERTO J.J. DE OLMEDO||6004810||pablo.queirolo@lan.com||Lunes a domingo 24 horas|194|7579
84|AEROMERC TRAVEL|AGENCIA DE VIAJES DUAL|AV. MANABI LOCAL 6 AV. 5 JUNIO PLAZA LAGO FRENTE A CNT|FRENTE A LAS OFICINAS DE CNT||939998502|aeromerctravel@gmail.com|www.aeromerc.com|Lunes a Viernes 08h30 a 17h30|112|7580
85|AEROMUNDO|AGENCIA DE VIAJES DUAL|JUNIN 430 Y GRAL.CORDOVA||42563183||jimmyrugelgerencia@aeromundo.com.ec||Lunes a Viernes 08h30 a 17h30|144|7581
86|AEROPORTO |AGENCIA DE VIAJES DUAL|RICAURTE S/N SUCRE Y CORDOVA|A LADO DEL CONSEJO PROVINCIAL DE MANABI|53044004|998655788|aeroportopvo@gmail.com||Lunes a Viernes 08h30 a 17h30|238|7582
87|AEROTUR S.A.|AGENCIA DE VIAJES INTERNACIONAL|CDLA GUAYAQUIL, CALLE VICTOR HUGO SICOURET, SOLAR 18 Y ALBERTO NUQUES, MZ 2 ||2288894||operacionesaerotur@cablemodem.com.ec||Lunes a Viernes 08h30 a 17h30|179|7583
88|AESLIT|AGENCIA DE VIAJES INTERNACIONAL|13 S/N AV. 7 Y 8|FRENTE AL TALLER RADIO ALARCON|52628089|985376018|gerencia@aeslit.com||Lunes a Viernes 08h30 a 17h30|143|7584
89|AG CASA BLANCA CHIPIPE|HOTEL|AVENIDA MALECON CHIPIPE CALLE 3 CALLE 4| SECTOR CHIPIPE A 4 CUADRAS DE LA BASE NAVAL&nbsp  |991202484|991202484|chipipe@casablancasalinas.com||Lunes a Domingo 24 horas|204|7585
90|AG CASA BLANCA SUITE|HOTEL|AVENIDA MALECON CALLE 17 CALLE 19| MALECON DE SALINAS FINALIZANDO LA PLAYA DE SAN LORENZO |46600464|991202484|casablancasalinas@gmail.com|www.casablanca.com|Lunes a Domingo 24 horas|144|7586
91|AG2|FUENTE DE SODA|KM16 VIA MACHALA-GUAYAQUIL||986603592||||Lunes a viernes  06:00 a 20:00|200|7587
92|Agencia de Viaje Higher Travel |AGENCIA DE VIAJES INTERNACIONAL|ALBORADA 6TA ETAPA  SOLAR 17 S/N|FRENTE A CITY MALL|45031956_|959499757|HigherTravel@outlook.com||Lunes a Viernes 08h30 a 17h30|193|7588
93|AGENCIA DE VIAJE TU DESTINO|AGENCIA DE VIAJES INTERNACIONAL|CIRCUNVALACION SUR 612 AV LAS MONJAS Y FICUS | ESTA UBICADA ENTRE LA DISTRIBUIDORA VASQUEZ Y LA CLINICA PEDIATRICA&nbsp  |42380104|42381103|gerencia@tudestino.com.ec|www.tudestino.com.ec|Lunes a Viernes 08h30 a 17h30|175|7589
94|AGENCIA DE VIAJE Y TURISMO EUGETRAVEL S.A.|AGENCIA DE VIAJES INTERNACIONAL|VICTOR MANUEL RENDON 600 ESCOBEDO|ALTOS DE ALMACENES SINGER|46002055|999337115|eugenia1n@yahoo.es||Lunes a Viernes 08h30 a 17h30|177|7590
95|AGENCIA DE VIAJES DUAL K-SAMA TRIP|AGENCIA DE VIAJES DUAL|CALLE B SL 5 5 DE JUNIO| Local esquinero frente al parque central de Lomas de Sargentillo (Diagonal a la Iglesia) |985142087|981468573|ksamatrip@gmail.com||Lunes a Viernes 08h30 a 17h30|177|7591
96|AGENCIA DE VIAJES NATIONS TOURS|AGENCIA DE VIAJES INTERNACIONAL|LOS RIOS 200A Y E ALEJO LASCANO Y LUIS VERNAZA PISO 1||980797740||NATIONSTOURS@HOTMAIL.COM||Lunes a Viernes 08h30 a 17h30|236|7592
97|AGENCIA DE VIAJES VIAVALAMO S.A.|AGENCIA DE VIAJES INTERNACIONAL|ACCESO 1 VIA A LA COSTA 14 1/2 SOLAR 1 ANTES DE LOGO ACADEMY| KM 14&nbsp  1/2 VIA A LA COSTA&nbsp  ACCESO 1 DIAGONAL&nbsp  ACADEMY LOGOS CERCA DEL BCO DEL AUSTRO. |958746201||vanesa.larrea@hotmail.com||Lunes a Viernes 08h30 a 17h30|187|7593
98|AGENCIA GOLD TRAVEL AGTOUR S.A.|AGENCIA DE VIAJES INTERNACIONAL|AV. RODRIGUEZ CHAVEZ EDIFICIO 4 CENTRO EMPRESARIAL COLON|A UNA CUADRA DE LA IGLESIA LOS MORMONES|44600793|993402479|carlospallovera@gmail.com|www.agtourgoldtravel.ec|Lunes a Viernes 08h30 a 17h30|159|7594
99|AGENSITUR S.A.|AGENCIA DE VIAJES INTERNACIONAL|KM 1,5 VÍA SAMBORONDÓN. EDIFICIO DEL PORTAL PISO 4 OF401 S/N S/N||46009892|991017222|asisconta2@ecoventura.com|www.agensitur.com|Lunes a Viernes 08h30 a 17h30|113|7595
100|AGRANDADOS|FUENTE DE SODA|VIA SAN MATEO ||||marcina_jurado@hotmail.com||Lunes a viernes  06:00 a 20:00|129|7596
101|AGROCOMERCIO RIO DAULAR|FUENTE DE SODA|CHONGON, HACIENDA EL REMANSO, KM 36 VIA A LA COSTA||||||Lunes a viernes  06:00 a 20:00|221|7597
102|AGUA BLANCA|HOTEL|CALLE 105 AV.108 DIAG. A ESQ. DE ALES||52383933||agustin_bazurto@yahoo.es||Lunes a Domingo 24 horas|176|7598
103|AGUA BLANCA PUERTO LOPEZ|HOTEL|AV. MACHALILLA Y  ABDON CALDERON||52300240||osejos@hotmail.com||Lunes a Domingo 24 horas|134|7599
104|AGUA DE LUNA|DISCOTECA|CDLA. LA GARZOTA, MZ. 32, SOLAR 4 - 5||98976139||a-fer23@hotmail.com||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|133|7600
105|AGUA MARINA|HOSTAL|JAIME ROLDOS 430 VELASCO IBARRA|DIAGONAL AL ESTADIO MUNICIPAL PEDERNALES||985808269|jorgi93az@hotmail.com|| Lunes a domingo 24 horas|173|7601
106|AGUACATE|RESTAURANTE|CDLA. ENTRE RÍOS, MZ. Y1, SOLAR 25||2097278||||Lunes a sabado de 08:00 a22:00|152|7602
107|AGUACATE EL |RESTAURANTE|AV. 5 DE JUNIO Y AV. MANABI||52337439||alexmore1978@hotmail.com||Lunes a sabado de 08:00 a22:00|194|7603
108|AGUIMAR|AGENCIA DE VIAJES INTERNACIONAL|CORDOVA 640 Y URDANETA||2560518||aguitour@live.com||Lunes a Viernes 08h30 a 17h30|135|7604
109|AHOGAR LAS PENAS|DISCOTECA|C.C.  PLAZA DEL SOL|||||WWW.AHOGARLASPENAS.COM|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|140|7605
110|AIR EUROPA|TRANSPORTE AÉREO|KENNEDY NORTE, AV. FRANCISCO DE ORELLANA S/N Y JOSE SANTIAGO CASTILLO, ED. BLUE TOWERS, PISO 1, OF. 2-3||42630194||adminitracion.ecuador@air-europa.com||Lunes a domingo 24 horas|244|7606
111|AIR SUITES|HOTEL|CDLA SIMON BOLIVAR  5 HERMANO MIGUEL| ATRAS DE TRANSPORTE ECUADOR |45111500|999619513|ndavila@air-suites.com|www.air-suites.com|Lunes a Domingo 24 horas|154|7607
112|AIR YUS VIAJES & TOURS|AGENCIA DE VIAJES DUAL|SANTA MARIANITA D 1 CALLE BOLIVARIANA| VIA MANTA, DIAGONAL AL DIARIO, DERECHO HASTA LLEGAR AL FRENTE DE LA UNIDAD EDUCATIVA MANABI TECNOLOGICO |939402843|987148863|airyusv@gmail.com|www.agency-b2b.com|Lunes a Viernes 08h30 a 17h30|128|7608
113|AIRE LIBRE|HOSTAL|MALECON 000 GARCIA MORENO Y PLAZA ACOSTA||52360557|994604376|luzmilamendoza01@gmail.com|| Lunes a domingo 24 horas|246|7609
114|AIRPORT|HOTEL|AV. DE LAS AMERICAS SL. 14 -15 CDLA SIMON BOLIVAR MZ. 37|FRENTE AL AEROPUERTO|43710165|984578822|violeta_patricia@hotmail.com|www.airporthotelguayaquil.com|Lunes a Domingo 24 horas|120|7610
115|AJI DE MESA|RESTAURANTE|DECIMA CUARTA 14 D|A DOS CUADRAS DE LA UNIVERSIDAD TÉCNICA DE BABAHOYO|52780820|993154871|alexisrock18@hotmail.com||Lunes a sabado de 08:00 a22:00|233|7611
116|AK BAR|BAR|AVE.24 CALLE 15 B. SAN RAFAEL||||carloecrteran@hotmail.com||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|209|7612
117|AKAI SUSHI EXPRESS|RESTAURANTE|C.C. LAGUNA PLAZA, PISO 1, KM 12.5 VIA A LA COSTA, URB. LAGUNA CLUB, No. 221 ||45044899||maria.reinoso@akai.com.ec||Lunes a sabado de 08:00 a22:00|241|7613
118|AKAI SUSHI EXPRESS|RESTAURANTE|AV. DEL BOMBERO S/N, KM 6 VIA A LA COSTA, C.C. RIOCENTRO CEIBOS, PISO 2, LOCAL C-14||5044899||maria.reinoso@akai.com.ec||Lunes a sabado de 08:00 a22:00|178|7614
119|AKAI SUSHI EXPRESS|RESTAURANTE|KM 1,5 VIA A SAMBORONDON, C.C. VILLAGE PLAZA, LOCAL 216||6026744||akai.villageplaza@gmail.com.ec||Lunes a sabado de 08:00 a22:00|119|7615
120|AKAI SUSHI EXPRESS|RESTAURANTE|KM. 10.5 VIA A LA AURORA C.C. RIOCENTRO EL DORADO PISO 2, ISLA||4505164||AKAIELDORADO@GMAIL.COM||Lunes a sabado de 08:00 a22:00|220|7616
121|AKAI SUSHI EXPRESS|RESTAURANTE|AV. FRANCISCO DE ORELLANA Nº100, C.C. SAN MARINO, PISO 2, LOCAL 1-20||||||Lunes a sabado de 08:00 a22:00|162|7617
122|AKAI TRAVEL|AGENCIA DE VIAJES DUAL|Av fco de Orellana 849 n/a| Local&nbsp  2, a lado de GYM Iron |983396999||jljarrin.nixares@gmail.com|www.travelakai.com|Lunes a Viernes 08h30 a 17h30|186|7618
123|AKBAR|DISCOTECA|CDLA ALBORADA XII ET, MZ 19 SOLAR 36||||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|197|7619
124|AKI ME QUEDO|RESTAURANTE|9 DE MAYO Y 13AVA||983993005||liliperez@hotmail.it||Lunes a sabado de 08:00 a22:00|128|7620
125|AKITRANSPORT S.A.|TRANSPORTE TERRESTRE|ROCAFUERTE 114 Y MALECON||72928036||||Lunes a domingo 24 horas|227|7621
126|AKOMER|RESTAURANTE|SAUCES 1, SOLAR 1, MZ. F-13||98261005||garmo.jorge@gmail.com||Lunes a sabado de 08:00 a22:00|131|7622
127|AKOMER AL CARBON|RESTAURANTE|CDLA. CENTENARIO, CALLE AZUAY Y CHIMBORAZO, C.C. SUR, LOCAL 1 ||4542793||solucionesempresarialespg@gmail.com||Lunes a sabado de 08:00 a22:00|116|7623
128|AL BRUJO SEAFOOD|RESTAURANTE|CIUDADELA LAS BRISAS, CONDOMINIOS BLOQUE # 7||986972622||maripa89@hotmail.com||Lunes a sabado de 08:00 a22:00|190|7624
