id|parroquia|id_1
22676|TARQUI|37668
22677|PUERTO LÓPEZ, CABECERA CANTONAL|37669
22678|PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37670
22679|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37671
22680|MANGLARALTO|37672
22681|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37673
22682|PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37674
22683|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37675
22684|12 DE MARZO|37676
22685|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37677
22686|MANTA, CABECERA CANTONAL|37678
22687|LA PROVIDENCIA|37679
22688|CHONE, CABECERA CANTONAL|37680
22689|PUERTO LÓPEZ, CABECERA CANTONAL|37681
22690|TARQUI|37682
22691|TARQUI|37683
22692|SALINAS, CABECERA CANTONAL|37684
22693|SALINAS, CABECERA CANTONAL|37685
22694|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37686
22695|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37687
22696|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37688
22697|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37689
22698|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37690
22699|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37691
22700|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37692
22701|MANTA, CABECERA CANTONAL|37693
22702|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37694
22703|SAMBORONDÓN, CABECERA CANTONAL|37695
22704|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37696
22705|LOS LOJAS (ENRIQUE BAQUERIZO MORENO)|37697
22706|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37698
22707|SAMBORONDÓN, CABECERA CANTONAL|37699
22708|TARQUI|37700
22709|TARQUI|37701
22710|TARQUI|37702
22711|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37703
22712|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37704
22713|MANTA, CABECERA CANTONAL|37705
22714|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37706
22715|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37707
22716|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37708
22717|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37709
22718|MANTA, CABECERA CANTONAL|37710
22719|SALINAS, CABECERA CANTONAL|37711
22720|PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37712
22721|PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37713
22722|TARQUI|37714
22723|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37715
22724|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37716
22725|MANGLARALTO|37717
22726|MANTA, CABECERA CANTONAL|37718
22727|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37719
22728|MANGLARALTO|37720
22729|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37721
22730|SAMBORONDÓN, CABECERA CANTONAL|37722
22731|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37723
22732|TARQUI|37724
22733|TARQUI|37725
22734|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37726
22735|XIMENA|37727
22736|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37728
22737|MANTA, CABECERA CANTONAL|37729
22738|MANGLARALTO|37730
22739|MANTA, CABECERA CANTONAL|37731
22740|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37732
22741|PASAJE, CABECERA CANTONAL|37733
22742|MILAGRO, CABECERA CANTONAL|37734
22743|SALINAS, CABECERA CANTONAL|37735
22744|CRUCITA|37736
22745|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37737
22746|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37738
22747|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37739
22748|MANTA, CABECERA CANTONAL|37740
22749|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37741
22750|SALINAS, CABECERA CANTONAL|37742
22751|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37743
22752|SALINAS, CABECERA CANTONAL|37744
22753|QUEVEDO, CABECERA CANTONAL|37745
22754|MANTA, CABECERA CANTONAL|37746
22755|MANTA, CABECERA CANTONAL|37747
22756|MANTA, CABECERA CANTONAL|37748
22757|MANTA, CABECERA CANTONAL|37749
22758|SAMBORONDÓN, CABECERA CANTONAL|37750
22759|PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37751
22760|MONTECRISTI|37752
22761|MANTA, CABECERA CANTONAL|37753
22762|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37754
22763|LA LIBERTAD, CABECERA CANTONAL|37755
22764|PASAJE, CABECERA CANTONAL|37756
22765|LOS ESTEROS|37757
22766|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37758
22767|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37759
22768|MANTA, CABECERA CANTONAL|37760
22769|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37761
22770|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37762
22771|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37763
22772|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37764
22773|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37765
22774|LA LIBERTAD, CABECERA CANTONAL|37766
22775|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37767
22776|SOZORANGA (CAB. CANTONAL)|37768
22777|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37769
22778|SALINAS, CABECERA CANTONAL|37770
22779|XIMENA|37771
22780|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37772
22781|SALINAS, CABECERA CANTONAL|37773
22782|SALINAS, CABECERA CANTONAL|37774
22783|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37775
22784|CHARAPOTÓ|37776
22785|ARENILLAS, CABECERA CANTONAL|37777
22786|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37778
22787|MANTA, CABECERA CANTONAL|37779
22788|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37780
22789|SANTA ROSA (CABECERA CANTONAL)|37781
22790|MANTA, CABECERA CANTONAL|37782
22791|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37783
22792|MANGLARALTO|37784
22793|QUEVEDO, CABECERA CANTONAL|37785
22794|QUEVEDO, CABECERA CANTONAL|37786
22795|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37787
22796|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37788
22797|PUERTO LÓPEZ, CABECERA CANTONAL|37789
22798|MANGLARALTO|37790
22799|MANTA, CABECERA CANTONAL|37791
22800|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37792
22801|MANTA, CABECERA CANTONAL|37793
22802|HUAQUILLAS, CABECERA CANTONAL|37794
22803|SALINAS, CABECERA CANTONAL|37795
22804|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37796
22805|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37797
22806|QUEVEDO, CABECERA CANTONAL|37798
22807|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37799
22808|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37800
22809|ELOY ALFARO (DURÁN), CABECERA CANTONAL|37801
22810|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37802
22811|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37803
22812|PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37804
22813|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37805
22814|QUEVEDO, CABECERA CANTONAL|37806
22815|SANTA ROSA (CABECERA CANTONAL)|37807
22816|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37808
22817|PIÑAS, CABECERA CANTONAL|37809
22818|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37810
22819|EL GUABO, CABECERA CANTONAL|37811
22820|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37812
22821|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37813
22822|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37814
22823|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37815
22824|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37816
22825|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37817
22826|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37818
22827|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37819
22828|ELOY ALFARO (DURÁN), CABECERA CANTONAL|37820
22829|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37821
22830|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37822
22831|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37823
22832|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37824
22833|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37825
22834|DAULE, CABECERA CANTONAL|37826
22835|QUEVEDO, CABECERA CANTONAL|37827
22836|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37828
22837|PIÑAS, CABECERA CANTONAL|37829
22838|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37830
22839|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37831
22840|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37832
22841|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37833
22842|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37834
22843|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37835
22844|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37836
22845|SAN LORENZO DE JIPIJAPA|37837
22846|SANTA ROSA (CABECERA CANTONAL)|37838
22847|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37839
22848|ELOY ALFARO (DURÁN), CABECERA CANTONAL|37840
22849|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37841
22850|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37842
22851|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37843
22852|LA LIBERTAD, CABECERA CANTONAL|37844
22853|PEDERNALES, CABECERA CANTONAL|37845
22854|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37846
22855|PASCUALES|37847
22856|MANGLARALTO|37848
22857|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37849
22858|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37850
22859|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37851
22860|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37852
22861|EL TRIUNFO, CABECERA CANTONAL|37853
22862|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37854
22863|MILTON REYES|37855
22864|PORTOVELO, CAB CANTONAL|37856
22865|VELASCO IBARRA (CAB. EL EMPALME), CABECERA CANTONAL|37857
22866|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37858
22867|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37859
22868|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37860
22869|PIÑAS, CABECERA CANTONAL|37861
22870|PEDERNALES, CABECERA CANTONAL|37862
22871|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37863
22872|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37864
22873|PEDERNALES, CABECERA CANTONAL|37865
22874|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37866
22875|MANTA, CABECERA CANTONAL|37867
22876|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37868
22877|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37869
22878|CALCETA, CABECERA CANTONAL|37870
22879|CHONE, CABECERA CANTONAL|37871
22880|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37872
22881|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37873
22882|JOSE LUIS TAMAYO (MUEY)|37874
22883|MANTA, CABECERA CANTONAL|37875
22884|MILAGRO, CABECERA CANTONAL|37876
22885|TARQUI|37877
22886|CHONE, CABECERA CANTONAL|37878
22887|PUERTO LÓPEZ, CABECERA CANTONAL|37879
22888|NARANJAL, CABECERA CANTONAL|37880
22889|TARQUI|37881
22890|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37882
22891|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37883
22892|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37884
22893|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37885
22894|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37886
22895|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37887
22896|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37888
22897|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37889
22898|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37890
22899|SALINAS, CABECERA CANTONAL|37891
22900|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37892
22901|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37893
22902|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37894
22903|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37895
22904|TARIFA|37896
22905|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37897
22906|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37898
22907|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37899
22908|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37900
22909|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37901
22910|JUAN GOMEZ RENDON (PROGRESO)|37902
22911|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37903
22912|PASCUALES|37904
22913|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37905
22914|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37906
22915|HUAQUILLAS, CABECERA CANTONAL|37907
22916|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37908
22917|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37909
22918|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37910
22919|PEDERNALES, CABECERA CANTONAL|37911
22920|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37912
22921|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37913
22922|MANTA, CABECERA CANTONAL|37914
22923|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37915
22924|ARENILLAS, CABECERA CANTONAL|37916
22925|EL PARAÍSO|37917
