idEstablecimiento|nombre_esta|clasificacion|direccion|refen_direccion|telefono_principal|telefono_secun|email|paginaWeb|estimacion|id_servicios
22233|CENTRO DE RECREACIÓN TURÍSTICA FREDDY AYUY|TERMAS Y BALNEARIOS|BARRIO LAS PALMERAS, A DOS CUADRAS DE LA ESCUELA FISCAL||994757103||antonioayuy2012@gmail.com||175|44442
22234|DON FRANCISCO EL SABOR ORIGINAL|RESTAURANTE|Imbabura N4-54 Y Mideros|A UNA CUADRA DEL C.C. HNO MIGUEL|22950363|984583856|juliaromanq@hotmail.com||161|44443
22235|DOÑA MENESTRA N 2|RESTAURANTE|AV DEL ESTADIO Y JOSE PERALTA||72882306||donamenestra2012@hotmail.com||143|44444
22236|SABOR LATINO|RESTAURANTE|TARQUI 9 30 Y BOLIVAR||2843546||||165|44445
22237|GUABOPAMBA|HOSTERÍA|SANTA ISABEL SECTOR GUABOPAMBA||2270272||GINARIVERA_MEDINA1@HOTMAIL.COM||184|44446
22238|QUISQUEYA|RESTAURANTE|PADRE AGUIRRE N.- 6-22||2844398||||160|44447
22239|EUROPA|HOTEL|GASPAR SANGURIMA 2-55 TOMAS ORDOÑEZ|JUNTO AL BANCO DEL PACIFICO|74114438|987501102|hoteleuropacuenca@gmail.com||168|44448
22240|GRAN MOLINA|HOTEL|AV SUCRE S-N LOS INCAS|ESQUINA|72255049|992747116|tanifer12@hotmail.com|www.hotelmolinagualaceo.com|123|44449
22241|CALAMAR|RESTAURANTE|GARCIA MORENO 6-50 Y GONZALES SUAREZ||2860862||||249|44450
22242|MI CLASSIC DISCOTEC|DISCOTECA|CAÑARIS Y CLODOVEO CENTENO, ESQUINA||72257845||MERCEDESPB2016@HOTMAIL.COM||193|44451
22243|AZUAY|RESTAURANTE|EL RAMAL||||||114|44452
22244|CASA GRANDE|SALA DE BAILE|TRATADO DE GIRON Y ESCUADRON CEDEÑO||||||194|44453
22245|TRUQUITO DEL SABOR EL|CAFETERÍA|JUAN JARAMILLO 8-39 Y BENIGNO MALO||||||245|44454
22246|GOLOSINAS DE BETTY|FUENTE DE SODA|CDLA. LA SAIBA MZ. Q VILLA 26||2444166||||206|44455
22247|FRESAW|HOSTAL|Av. Alberto Zambrano s/d Calle F|Frente al Terminal Terrestre de Puyo|982655038|32883963|chiquita410@hotmail.com||204|44456
22248|CAFÉ PUMAPUNGO|RESTAURANTE|CALLE LARGA 1-164 Y JESUS DE ARRIEGA||2850929||ROSARIOTOROMORENOTAPIA@YAHOO.COM||217|44457
22249|LUMINARIAS TURI|RESTAURANTE|TURI S/N (SECTOR IGUESIA)||72883403||||178|44458
22250|ROSA VICTORIA|SALA DE RECEPCIONES Y BANQUETES|AV. CIRCUNVALACION SECTOR EL ESTADIO||72257141||guncayreinoiso@hotmail.com||189|44459
22251|HELADERIA LOS ALPES|FUENTE DE SODA|AV. GENERAL RUMUÑAHUI 255 Y SEXTA Y SEPTIMA TRANSVERSAL||2862045||||159|44460
22252|ALPES LOS|FUENTE DE SODA|AV. ILALO Y RIO PASTAZA||2862045||negrishf@hotmail.com||240|44461
22253|HELADERÍA LOS ALPES|CAFETERÍA|RÍO Pastaza S/n y Av. IlalÓ||22862045|995689408|oficina@heladerialosalpes.com.ec||100|44462
22254|HELADERÍA LOS ALPES|CAFETERÍA|Av.12 de Octubre S/N y Mariscal Foch|DIAGONAL CENTRO COMERCIAL 12 DE OCTUBRE|22568121|995689408|oficina@heladerialosalpes.com.ec|www.heladerialosalpes.com.ec|110|44463
22255|COMPLEJO TURISTICO EL REY DE AGUAS TERMALES|CENTRO DE RECREACIÓN TURÍSTICA|NARANJAL, RECINTO AGUAS CALIENTES S/N||4220654||ismael@troncal.net||247|44464
22256|PIEDRA DE AGUA|TERMAS Y BALNEARIOS|PASEO DE GUADALUPANA, SECTOR BAÑOS||2892496||||192|44465
22257|HOSTAL CORONEL|HOSTAL|Mariano Cueva 9-42 Bolivar|ingresar por la calle la La Mar|997254417|72838108|gerencia@hotelcoronel.ec|www.hotelcoronel.ec|188|44466
22258|HACIENDA SUIZA YOGURT Y PAN DE YUCA N 2|CAFETERÍA|GONZALEZ SUAREZ S/N EMILIANO ZAPATA|CENTRO COMERCIAL MONAY SHOPPING||992950953|haciendasuiza@gmail.com||207|44467
22259|HACIENDA SUIZA YOGURT Y PAN DE YUCA N 3|CAFETERÍA|REMIGIO CRESPO S/N DE LA CRUZ|CENTRO COMERCIAL BATAN||992950953|haciendasuiza@gmail.com||104|44468
22260|BAMBU|HOTEL|AV. LOS FUNDADORES Y GARCIA MORENO||2899057||||250|44469
22261|SELENA ANGELINA|RESTAURANTE|BARRIO SUCRE, PARROQUIA BUENAVISTA||2941122||||164|44470
22262|JUGOS FIGUEROA HEREDIA|FUENTE DE SODA|IMBABURA N1-22 Y ROCAFUERTE||2286669||||191|44471
22263|JUGUERÍA FIGUEROA HEREDIA|RESTAURANTE|Imbabura N1-22 y Rocafuerte|A UNA CUADRA DEL PATRONATO SAN JOSE|992764349|969073818|jugueriafigueroa@hotmail.com||166|44472
22264|LA CASA DE LA GOLOSINA|CAFETERÍA|LAS HERRERIAS 2-10 AV 12 DE ABRIL|SECTROR LAS HERRERIAS|988199316|988199316|amma.sol-52@hotmail.com||174|44473
22265|RINCON DEL RIO|HOSTAL|JUAN VINTIMILLA S/N SIN NOMBRE|DETRAS DEL MERCADO MUNICIPAL|72276593|980427661|icaluvac@gmail.com||237|44474
22266|MORZUA|HOSTAL|AMAZONAS SN 29 DE MAYO|ESQUINA, RINCÓN DEL VAGO|72702275|999661025|omoralescalle.ec@hotmail.com||151|44475
22267|INES MARIA|HOSTAL|GRAN COLOMBIA 12-64 JUAN MONTALVO|'|72848380|991764737|hostalinesmaria@gmail.com|www.hostalinesmaria.com|108|44476
22268|SNOBIZ NO 2|FUENTE DE SODA|MALL DEL RIO SHOPPIN CENTER||||||212|44477
22269|PARADERO D TILAPIA|RESTAURANTE|VIA MACAS - PUYO, KM 21||3049199||ayliscuri@hotmail.com||247|44478
22270|PLAZA CENTRAL|HOTEL|Primero de Mayo s/n Av. Hualtaco|Frente al Mercado Central.|991550735|72995467|gerencia@hotelplazacentral.com||126|44479
22271|HOTEL EL CONQUISTADOR|HOTEL|AUTOPISTA YAHUARCOCHA KM 9 CALLE PIÑAN|Junto al Muelle Bar Yahuacocha,&nbsp|997341799|62580285|conquistadorlago@hotmail.com||158|44480
22272|CUADRA DE ROSITA LA|RESTAURANTE|CRISTOBAL COLON Y AV. 12 DE OCTUBRE||72816048||||156|44481
22273|MOLINO HOSTEL|HOSTAL|EL MOLINO 2-04 LOS BALCONES|A UNA CUADRA DE EDIFICIO MONTEVELLO|72842281|984975944|molinohostel@gmail.com|www.elmolinohostel.com|151|44482
22274|SOLANO|HOSTAL|CAMILO DESTUGE 1215 Y GUARANDA||2346011||||169|44483
22275|AGUA Y BAMBOO|HOSTERÍA|TRONCAL AMAZÓNICA S/N S/N|A 3 MINUTOS DEL PARQUE CENTRAL|72751003|981963460|hosteria_aguaybamboo@hotmail.com||152|44484
22276|LA COLMENA Y QUE|CAFETERÍA||PARQUE CENTRAL|961902797|961902797|lacolmena@hotmail.com||181|44485
22277|PACHACAMAC|HOSTAL|VIA PRINCIPAL S/N S/N|A QUINIENTOS METROS DE LA GASOLINERA|72171620|998653032|milperez74@hotmail.com||103|44486
22278|COMPLEJO TURISTICO EL PEÑON DE CUSAY|HOSTERÍA|VIA A CUENCA S/N S/N|A DOSCIENTOS METROS DE LA GASOLINERA|72171515|998653032|milperez74@hotmail.com||227|44487
22279|SERES|RESTAURANTE|PRESIDENTE CORDOVA N°7-23 Y BORRERO||2838508||||149|44488
22280|LA POSADA DEL QUIJOTE|HOSTERÍA|MIGUEL DE CERVANTES S/N VIA A PICHANILLAS|EL PORTON SECTOR LENTAG, A SETESIENTOS METROS DEL PARQUE EXTREMO|72801606|993224698|enrique_jerves@hotmail.com||109|44489
22281|JR. CAMARÓN|RESTAURANTE|Av. 6 de Diciembre N21-19 y Jorge Washington|A MEDIA CUADRA DEL BANCO DEL PICHINCHA|22563978|939630036|fabilau87@yahoo.es||147|44490
22282|BALCON QUITEÑO NO.1|RESTAURANTE|SANGURIMA 6-49||2831928||||180|44491
22283|HOSTERIA LUZCELINDA|HOSTERÍA|VIA A CUENCA S/N S/N|A CIEN METROS DE LA COMPLEJO LA ANCONDA|72742118|990350547|edbeke@gmail.com|www.hosterialuzcelinda.com|244|44492
22284|TOKIO|HOSTAL|Julio SAenz S6-502 Calle F|(VIA ANTIGUA CONOCOTO)|987671630|22602592|alexandrag.maldonado@gmail.com||209|44493
22285|TANQUEATE|FUENTE DE SODA|PANAMERICANA SUR KM 8.5||72878222||||123|44494
22286|PANTANAL EL|TERMAS Y BALNEARIOS|LAS AMERICAS KM 1 VIA SANTA MARTHA||||||214|44495
22287|CREMOLATO|FUENTE DE SODA|AV DE LAS AMERICAS 6-178||||||130|44496
22288|FONTANA HELADERIA No 6|FUENTE DE SODA|C.C. SAN LUIS SHOPPING - SAN RAFAEL||2090441||||218|44497
22289|FONTANA HELADERIA NO 2|FUENTE DE SODA|AV. GENERAL ENRIQUEZ C.C.PLAZA DEL VALLE L.B-14||2869329||||201|44498
22290|FONTANA HELADERIA (QUITUMBE)|FUENTE DE SODA|AV. QUITUMBE ÑAN Y AV. MORAN VALVERDE||||||139|44499
22291|FONTANA HELADERIA NO 5|FUENTE DE SODA|C.C.EL RECREO LOCAL 16||2666225||||168|44500
22292|Y RESTAURANTE ''MANABI''|HOSTAL|13 DE JUNIO S/N JULIAN ALVARADO|FRENTE A LA IGLESIA EVANGELICA|62319325|623193250|hostal.manabi@hotmail.com||204|44501
22293|MOLINOS DEL BATAN LOS|RESTAURANTE|AV.12 DE ABRIL Y EL BATAN||2811531||||102|44502
22294|HOSTERIA ESTANCIA EL ANGEL|HOSTERÍA|Recta Carmen de Bullcay S/N S/N||72171173|998057614|nancy2016hea@gmail.com|www.estanciaelangel.com|144|44503
22295|RIONE|HOTEL|LUIS MORENO MORA ESQUINA EDUARDO MALO||74092085|992762294|info@rionehotel.com|www.rionehotel.com|178|44504
22296|BRASA EL RINCON DEL BUEN SABOR LA|FUENTE DE SODA|DAVILA CHICA Y VICENTE PEÑA||||||241|44505
22297|RANCHO GRANDE|SALA DE RECEPCIONES Y BANQUETES|EL QUINCHE, RICAURTE JUNTO AL COLEGIO DE LAS CATALINAS||4075116||chmontero@hotmail.com|www.ranchogrande.com.ec|166|44506
22298|QUINTA MERCEDES|SALA DE RECEPCIONES Y BANQUETES|AV. PUEBLO DE LOS QUITUS Y CALLE SIN NOMBRE, CHALLUABAMBA||2843197||info@hotelquijote.com||221|44507
22299|ESTANCIO BLANCA|RESTAURANTE|SANGURIMA Y MANUEL VEGA||72843740||||215|44508
22300|LAS CABAÑAS|RESTAURANTE|AV ORDOÑEZ LAZO KM 5 S/N S/N|SAYAUSI|4191304|999290515|rubengarcia@hotmail.com||234|44509
22301|PACHAMAMA LODGE|HOSTAL|CALLE LARGA 2-38 MANUEL VEGA|FRENTE A LAS RUINAS ARQUEOLOGICAS DE TODOS SANTOS|72829465|999760076|eduardobrito2007@hotmail.com||184|44510
22302|HOSTAL VILLA DEL ROSARIO|HOSTAL|HONORATO VASQUEZ 5-25 MARIANO CUEVA|A CUADRA Y MEDIA DE LA IGLESIA DE LA MERCED, EN LA CALLE HONORATO VASQUEZ|992253778|72828585|dolorescelleri15@hotmail.com||223|44511
22303|DON GUEVARA|RESTAURANTE|KM 21 VIA A MOLLETURO||4045243||guevara.12@hotmail.com||186|44512
22304|CISNE EL|SALA DE RECEPCIONES Y BANQUETES|LEOPOLDO DAVILA Y AV. DE LAS AMERICAS||4093744||||178|44513
22305|RINCON CUENCANO EL|RESTAURANTE|SOASTI ENTRE CUENCA Y 5 DE AGOSTO||2704087||guada.loja@hotmail.com||246|44514
22306|ASADERO RESTAURANT GALPON CRIOLLO|RESTAURANTE|AV. La República S/N Guayas y 9 de de octubre|Frente a la cooperativa de taxis Turismo Sur.|72511714|992656463|crisjas@hotmail.com|www.galponcriollo.com|121|44515
22307|PALMAS LAS|RESTAURANTE|VIA A GUARUMALES MENDEZ||985801706||ESTERLLIGUISUPA.VERDUGO@OUTLOOK.ES||161|44516
22308|CACTUS CAFÉ|CAFETERÍA|GUAYANAY 1-26 PACHACAMAC|CIUDADELA ALVAREZ|74109058|980558329|bolivartmendoza@hotmail.com||153|44517
22309|BUNGALOWS|SALA DE RECEPCIONES Y BANQUETES|SUCRE 16-62 Y MIGUEL VELEZ||2828-438||||132|44518
22310|CHOZA LA|RESTAURANTE|TERMINAL TERRESTRE EL CHORRO Y SEBASTIAN DE BENALCAZAR||72861364||||108|44519
22311|RESTAURANTE MI ESCONDITE|RESTAURANTE|JULIA BERNAL 3-18 JAIME ROLDOS|PARROQUIA RICAURTE SECTOR CUATRO ESQUINAS|72890228|969198094|miesconditericaurte@hotmail.com|www.restaurantesmiescondite.com|141|44520
22312|NICE CREAM|FUENTE DE SODA|TARQUI Y AMAZONAS||2704198||feijo.antonio.54@gmail.com||131|44521
22313|MUU YOGURT N1|FUENTE DE SODA|BENIGNO MALO Y JUAN JARAMILLO||845632||||227|44522
22314|PECAN BISTRO THE|RESTAURANTE|CDLA. LA GARZOTA, MZ. 29, SL. 12||2647540||||216|44523
22315|LA ORQUIDEA LIMONENSE|HOSTAL|AV. 12 DE DICIEMBRE S/N 5 DE JUNIO||72770301|994286983|miriamsalazar22@hotmail.com||193|44524
22316|PAREDES|HOSTAL|bartolome serrrano 1-17 simon bolivar||72835674|968221822|hostalparedes@hotmail.com|www.hostalparedes.com|209|44525
22317|HOSPEDAJE LOS CABALLEROS|HOSTAL|SANTIAGO LAFEBRE 2264 FRANCISCO DE ORELLANA|A UNA CUADRA DEL PARQUE CENTRAL, VIA A MACAS|73911226|992274217|feralvarez1955.edgar@gmail.com||196|44526
22318|MAXIS YOGURT|FUENTE DE SODA|COLON 712 Y LEONIDAS PLAZA||||||106|44527
22319|Q' PAPA FRENCH FRIES|FUENTE DE SODA|AV. 12 DE ABRIL Y AV. LOJA||72455666||JCAZORLA@VINDELPO.COM||182|44528
22320|HOSTAL SAN DIEGO|HOSTAL|AV. DE LAS AMERICAS 13-00 MARISCAL LAMAR|FRENTE AL SUPERMAXI|72837569|995512501|dugalde30@gmail.com||127|44529
22321|MILETO|HOTEL|Eduardo Aspiazu (Avda 6ta) S/N Lupercio Bazan (Calle 23)||42771125|998552200|info@hotelmileto.com|www.hotelmileto.com|145|44530
22322|HOTEL LA CASONA VERGEL|HOTEL|MIGUEL CORDERO 2-124 ALFONSO CORDERO|Miguel Cordero 2-124 y Alfonso Cordero, esquina. Sector el estadio. A una cuadra del Supermaxi del Vergel|998831262|72888869|info@lacasonahotel.com.ec|www.lacasonahotel.com.ec|165|44531
22323|CASA DEL RIO|HOSTAL|BAJA DEL PADRON 4-07 Y CALLE LARGA||2829659||||238|44532
22324|SAGITARIO|RESTAURANTE|AV. DE LAS AMERICAS Y 12 DE ABRIL||2880450||||214|44533
22325|DON RAUL|RESTAURANTE|AV. DE LAS AMERICAS Y AV. DON BOSCO||74072946||MONYCEDILLO@HOTMAIL.COM||210|44534
22326|HOSTAL PRIMAVERA|HOSTAL|Av. Ricardo Durán S-N Alfonso Carrión|A media cuadra de la entrada a la Hostería Durán y a media cuadra del PAI de Baños.&nbsp|994977493|74047475|nicolesinchi1996@hotmail.com||192|44535
22327|HAMILTON|HOSTAL|MIGUEL HEREDIA 3-07 VEGA MUÑOZ|A UNA CUADRA DEL PARQUE PLAZA DEL ARTE|593824243|987146349|hotelhamiltoncuenca@hotmail.com||172|44536
22328|SHANTA'S RESTAURANT|RESTAURANTE|AV. LOJA SN SN|JUNTO A&nbsp HACIENDA ALIVINATU&nbsp|959491012|985385710|shantasbar@hotmail.com||221|44537
22329|VILLA SAN MARCOS|HOTEL|VEGA MUÑOZ 7-45 LUIS CORDERO|A DOS CUADRAS DE LA IGLESIA DE MARIA AUXILIADORA|992969040|72843111|villa.sanmarcos.hotel@hotmail.com||137|44538
22330|LAS VEGAS|BAR|MARISCAL FOCH E7-72 y DIEGO DE ALMAGRO|DIAGONAL AL CARAVANA|22553498|999238629|erikaperaltarobled@gmail.com||150|44539
22331|EL MONASTERIO|CAFETERÍA|PRESIDENTE CORDOVA 6-45 BORRERO|CENTRO|0|992346900|reino763@hotmail.com||121|44540
22332|EL FOGON DE GIRON|RESTAURANTE|LUCIANO VALLEJO S/N GARCIA MORENO|CENTRO DE GIRON|72275677|959826556|orlandosigua78@gmail.com||245|44541
22333|ROYAL CLUB|SALA DE RECEPCIONES Y BANQUETES|AV. 10 DE AGOSTO Y A. CUEVA||72837297||||221|44542
22334|LA CASA DE MARIO|CASA DE HUÉSPEDES|PASAJE SOJOS 1-17 FRANCISCA SOJOS|FRENTE AL PARQUE DE LA CIUDADELA|72815621|995910868|MGALVISF@HOTMAIL.COM||236|44543
22335|INTERNACIONAL|HOTEL|calle cuenca SN Garcia moreno|FRENTE A CNT|22780637|999325250|hotelinternacional-rp@hotmail.com|www.hotelinternacionalgualaquiza.com|153|44544
22336|SOFIA PRINCIPAL|RESTAURANTE|ESTEVEZ DE TORAL N.- 11-90 Y SANGURIMA||2841667||||111|44545
22337|PALMEIRAS|RESTAURANTE|AV. 29 Y CIRCUNVALACION Y AV. FLAVIO REYES||52627070||marienela.mero@hotmail.com||144|44546
22338|RINCON DE ESPAÑA|RESTAURANTE|AV. ESPAÑA 17-97||2806586||||143|44547
22339|HOSTAL LA PAZ|HOSTAL|AV ESPANA 502 BARCELONA|AV ESPAÑA JUNTO AL BANCO DEL GUAYAQUIL, DIAGONAL AL TERMINAL TERRESTRE|999501126|72865156|agustin.salazarroldan@gmail.com||112|44548
22340|HOTEL COLONIAL|HOTEL|GRAN COLOMBIA 10-13 PADRE AGUIRRE|FRENTE A LA IGLESIA SANTO DOMINGO|72841644|984810685|hostalcolonialcuenca@gmail.com|www.hostalcolonial.com|170|44549
22341|HOSTAL CHONTA DORADA|HOSTAL|PIO JARAMILLO ALVARADO S/N Y DIEGO DE VACA|EN EL CENTRO DE LA CIUDAD A UNA CUADRA DEL COLISEO DE DEPORTES|989124744|72606384|hotelchontadorada@hotmail.com||186|44550
22342|CASTILLO REAL EL|SALA DE RECEPCIONES Y BANQUETES|LAMAR 11-51||2818337||||149|44551
22343|PRADERA LA|RESTAURANTE|VIA AL CAJAS SECTOR DOS CHORRERAS||72370299||||139|44552
22344|RESTAURANTE EL ALCATRAZ|RESTAURANTE|RICAURTE SECTOR 4 ESQUINAS||72890427||||114|44553
22345|TOMEBAMBA|HOTEL|SIMÓN BOLÍVAR 11-19 GENERAL TORRES|A MEDIA CUADRA DE LA DIRECCION DE EDUCACION|72823797|993545346|hoteltomebamba@hotmail.com|'|175|44554
22346|GENESIS|RESTAURANTE|LAMAR 10-26||||||218|44555
22347|GREEN SPOT|CASA DE HUÉSPEDES|AV. ORDOÑEZ LASSO S/N JOSE RODRIGUEZ PARRA|SECTOR VIRGEN DEL MILAGRO, FRENTE A UNA LAVADORA DE AUTOS|74089394|990852827|greenspot.ecuador@gmail.com|www.greenspotecuador.com|230|44556
22348|QUINTA CARMITA|SALA DE RECEPCIONES Y BANQUETES|SECTOR SAN MIGUEL SAYAUSI||4109415||silviamaricelar@yahoo.com||226|44557
22349|CINEMA CAFE|CAFETERÍA|LUIS CORDERO 7-42 PRESIDENTE CORDOVA|A UNA CUADRA DEL PARQUE CENTRAL|989476241|72842719|nachocinemacafe@hotmail.com||216|44558
22350|MERCEDITAS|SALA DE RECEPCIONES Y BANQUETES|VIA A NULTI A 300M ESCUELA BALAREZO||||||122|44559
22351|DOÑA CHARITO|RESTAURANTE|REMIGIO CRESPO 7-79||2884026||||196|44560
22352|CENTRO SAMAI|HOSTERÍA|PRINCIPAL S/N SUBIENDO AL CERRO|FRENTE A LA COMUNIDAD DE SAN JOSE|72814832|994621416|samaispa@yahoo.com||200|44561
22353|HOSTAL PELEUSI|HOSTAL|SERRANO 3-22 MATOVELLE|DIAGONAL A LA IGLESIA LA CATEDRAL AZOGUES &nbsp|983741298|72245445|hostalpeleusi@gmail.com||141|44562
22354|PARRILLADAS LA FRAGUA|RESTAURANTE|LUIS MORENO MORA 4-42 Y CORNELIO MERCHAN||72817563||VISION-GROUP@HOTMAIL.COM||163|44563
22355|BOCADELLA|FUENTE DE SODA|AV. FRANCISCO MOSCOSO Y 27 DE FEBRERO||998394520||CAGUIRRE037@HOTMAIL.COM||195|44564
22356|FRUTILADOS|CAFETERÍA|AV REMIGIO CRESPO 4-53 Y RICARDO MUÑOZ||||||137|44565
22357|FRUTILADOS|FUENTE DE SODA|ELIA LIUT Y CALLE VIEJA||||||181|44566
22358|QUINUA LA|RESTAURANTE|BENIGNO MALO 12-75 Y VEGA MUÑOZ||72832370||CESARCOMELECHUGA@HOTMAIL.COM||179|44567
22359|HOTEL LOS BALCONES|HOTEL|Borrero 12-08 Sangurima|Tres cuadas antes de llegar a la iglesia san alfonso sobre la calle borrero.|997016247|72842103|leom57@hotmail.com|www.hotellosbalconescuenca.com|201|44568
22360|MAYU|RESTAURANTE|BENGNO MALO SN SIMON BOLIVAR|FRENTE AL PARQUE CALDERON EN LA CALLE BENGNO MALO ANTES DE LLEGAR AL TUTTO FREDO DE LA SIMON BOLIVAR ENTRAR AL SEMINARIO SAN LUS Y SUBR AL SEGUNDO PISO|980452926|999278342|pablo.macas0709@ucuenca.edu.ec||232|44569
22361|PIZZERIA LITTLE ITALY|CAFETERÍA|REMIGIO TAMARIZ S/N Y ALFONSO BORRERO|A DOS CUADRAS DE LA UNIVERSIDAD DE CUENCA|||mar.moscoso@hotmail.com||154|44570
22362|EL MESON ESPAÑOL TAPAS RESTAURANT|RESTAURANTE|antonio borrero 7-51 sucre|frente al banco del austro|969062808|969062808|carloscaceres1959@gmail.com||218|44571
22363|MARVENTO II|HOTEL|Digno Nuñez 1 Av. General Enriquez||42770287|994643606|hotelmarventosalinas@gmail.com|www.hotelmarvento.com|205|44572
22364|ALO PICA|RESTAURANTE|CARLOS JULIO AROSEMENA Y AV. ORIENTAL||72742553||astudillocedilloff@gmail.com||240|44573
22365|EL MARQUES DEL COCA|HOTEL|NAPO 76-02 JUAN MONTALVO|Estamos ubicados en el centro de la ciudad del coca, entre la calle Napo 76-02 y Juan Montalvo diagonal al cuerpo de Bomberos y a lado del TIA central.|990546177|990602906|elmarquezdelcocahotel@hotmail.com|www.elmarquezhotelcoca.com|173|44574
22366|PORTAL DE FATIMA|SALA DE BAILE|VIA A RAKAR SECTOR FATIMA||4060241||||235|44575
22367|PALMERAS LAS|RESTAURANTE|CARLOS ARIZAGA VEGA (SECTOR SAN JOAQUIN)||72894175||r.palmeras@hotmail.com||122|44576
22368|MORAS CAFE|CAFETERÍA|HONORATO,LOYOLA 1-152 Y AGUSTIN CUEVA||74102068||PISHOMORA@LIVE.COM||184|44577
22369|VC GOURMET COMIDA RAPIDA|RESTAURANTE|av de las americas s/n juan pio montufar|frente a coralcentro|998494139|724111724|marcovizuela58@hotmail.com||169|44578
22370|ALQUIMIA|RESTAURANTE|HONORATO VASQUEZ S/N Y BORRERO||74089982||PIEDADPULGARIN@YAHOO.COM||148|44579
22371|AMUNTAI RAINFOREST LODGE|LODGE|AVENIDA RIO AMUNDALO SIN NUMERO POSADA DEL GENERAL|A DOSCIENTOS METROS DE LA ESCUELA CIUDAD DE AMBATO|33058974|992851165|amuntai.lodge@hotmail.com|www.amuntailodge.com|220|44580
22372|GALAPAGOS DREAMS|HOSTAL|CALLE CUCUVE 324 CALLE FLOREANA||52524861|982687189|gladisgcr@yahoo.com||127|44581
